hum,tem,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Late Night,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
64.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.161788067054938
52.0,36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.532568185539929
63.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.373603731714607
67.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.708452373253476
28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.688500770172494
60.0,36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.685963375083
74.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.619312590933603
60.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.6586748188596205
60.0,34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.631462021262637
56.0,36,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.480903099096382
64.0,33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.963112641835782
62.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.388459535380317
59.0,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.1316158152554285
84.0,28,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.545364008829718
73.0,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.136681562869434
61.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.5305501084862705
54.0,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.326672311859058
52.0,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.371691469249816
71.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.002228693127249
71.0,32,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.079238080734006
70.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.8356245481040085
67.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.664708531694214
69.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.677973797322964
65.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.333698349900985
77.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.014463574017785
56.0,36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.887706257045717
74.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.683060625657087
70.0,32,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.770994343685556
52.0,36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.460411704239148
76.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.591626411518854
68.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.552475067678632
63.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.420034668609753
53.0,35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.435928168626206
70.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.7986158673634325
57.0,36,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.272654021505049
65.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.441269363423556
68.0,33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.774836119625719
68.0,33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.958382587928113
67.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.8093918187391935
61.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.62845660063869
62.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.422672232239169
62.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.579439214973093
55.0,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.009107083687715
59.0,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.035402494744612
66.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.590521129508632
74.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.562457565543219
90.0,28,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.224401192535652
59.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.570057851490695
30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.694419739118096
59.0,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.773045254325969
65.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.4275392630568815
64.0,33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.013783237443686
77.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.220959673015617
68.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.336806125391845
73.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.169452115634111
64.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.847477450449488
60.0,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.060703024231403
76.0,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.357473653865254
59.0,34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.42420545930479
66.0,33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.611751855945842
65.0,33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.392237836130256
59.0,35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.562292872537918
66.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.8497705594154255
68.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.592618601048126
60.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.476326638775102
60.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.6647740637350985
80.0,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.224956345556255
64.0,32,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0791304662977055
68.0,33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.417315831022963
50.0,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6553319341085935
64.0,32,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.228200143284749
53.0,36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.441082825145923
36.0,43,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.230856179483844
72.0,31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.967432935475888
77.0,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.720622733981795
67.0,33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.663469015764956
67.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.584880308441986
70.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.865389162464468
60.0,34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.755537864512695
57.0,35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.831578240914374
73.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.472101639982384
66.0,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.626385650822291
58.0,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.900340855693482
55.0,36,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33072355471792
55.0,36,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.744040388447147
53.0,36,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.145072137204256
64.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.153620053844903
72.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.789842565459073
71.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.026154537320497
75.0,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.66131385122328
77.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.473252663754817
73.0,31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.138963205736284
74.0,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.912317027055185
73.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.130392579482849
61.0,33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.421628958622335
73.0,31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.130623916051787
