greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2,2,5,5,2,2,5,1,50.0,37,0.0,0.0,1.0,0.0,0.0,1.0,7.119862853459918,8,7,2,69.97075243076324,27.77777777777778,23.88888888888889,79,1,29.7
3,5,4,4,2,3,3,2,61.0,33,1.0,0.0,0.0,0.0,1.0,0.0,5.928930870655125,4,5,3,66.56072187895354,32.77777777777778,22.77777777777778,55,5,29.67
1,1,5,5,1,1,5,1,58.0,34,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885,17,6,0,61.73350614319519,31.11111111111111,25.0,70,2,29.61
1,3,4,4,3,3,4,2,59.0,34,0.0,0.0,0.0,1.0,1.0,0.0,6.777328015657088,4,4,5,54.79699967055456,31.11111111111111,25.0,70,1,29.73
1,1,3,3,2,2,3,2,60.0,34,1.0,0.0,0.0,0.0,1.0,0.0,7.203266530765332,8,9,2,71.56290158835353,32.22222222222222,23.88888888888889,62,8,29.64
2,2,3,3,3,2,2,3,49.0,36,1.0,0.0,0.0,0.0,1.0,0.0,8.367955301819842,2,3,3,54.49982617980992,27.22222222222222,25.0,89,10,29.7
2,2,1,1,5,5,1,5,49.0,37,0.0,0.0,1.0,0.0,0.0,1.0,5.694328120729331,4,1,3,63.32383447311693,27.77777777777778,23.88888888888889,79,1,29.7
4,4,2,1,3,4,2,4,74.0,30,0.0,0.0,0.0,1.0,1.0,0.0,5.7694970276291135,1,0,0,78.85794728496208,30.0,25.0,74,9,29.7
5,4,3,2,3,2,4,2,62.0,34,0.0,0.0,1.0,0.0,0.0,1.0,6.9801222853210225,0,0,0,83.58261175953977,31.11111111111111,23.88888888888889,66,15,29.55
5,4,3,3,3,4,2,4,60.0,35,0.0,0.0,0.0,1.0,1.0,0.0,5.677563927969199,1,0,0,69.81858241634579,32.22222222222222,25.0,66,9,29.7
2,2,4,4,2,1,5,1,58.0,34,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885,4,2,2,77.18233195984524,31.11111111111111,25.0,70,2,29.61
3,3,4,5,1,2,3,1,61.0,33,0.0,0.0,0.0,1.0,0.0,1.0,5.874002992725264,2,1,0,69.21556979858525,28.88888888888889,25.0,79,2,29.7
4,4,2,3,4,3,3,4,47.0,37,0.0,0.0,0.0,1.0,0.0,1.0,6.694368563981508,8,7,1,71.48865358754777,30.0,25.0,74,8,29.76
2,2,5,5,1,1,5,1,77.0,31,0.0,0.0,1.0,0.0,0.0,1.0,7.0573137577692595,10,7,3,68.16645111784833,31.11111111111111,23.88888888888889,66,9,29.67
3,3,2,2,3,3,2,3,78.0,31,1.0,0.0,0.0,0.0,1.0,0.0,5.574105052449228,5,5,0,68.96624778659043,32.22222222222222,25.0,66,7,29.67
3,3,2,2,4,3,2,4,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,2,2,2,70.62248689669448,28.88888888888889,26.11111111111111,84,1,29.73
3,3,3,5,3,3,4,2,63.0,33,0.0,0.0,0.0,1.0,1.0,0.0,5.99450618775817,6,7,0,71.1070010697528,31.11111111111111,25.0,70,2,29.76
5,4,3,2,3,3,3,3,84.0,29,0.0,0.0,0.0,1.0,1.0,0.0,7.147294097484697,2,0,6,65.90782863978238,32.22222222222222,23.88888888888889,62,5,29.73
2,2,3,2,2,1,2,2,55.0,35,0.0,0.0,0.0,1.0,1.0,0.0,5.568986958603588,2,0,0,75.15800015874194,32.22222222222222,23.88888888888889,62,3,29.73
3,3,4,4,2,2,4,2,78.0,31,1.0,0.0,0.0,0.0,1.0,0.0,5.574105052449228,6,4,5,72.84342181069515,32.22222222222222,25.0,66,7,29.67
3,3,4,3,3,3,3,3,51.0,36,1.0,0.0,0.0,0.0,1.0,0.0,5.593786972991644,4,3,3,76.35335203119317,32.22222222222222,23.88888888888889,62,2,29.7
3,3,1,1,3,3,2,3,49.0,37,1.0,0.0,0.0,0.0,1.0,0.0,5.7365276080147565,3,1,3,62.916700662625644,32.22222222222222,23.88888888888889,62,5,29.73
1,1,3,3,2,2,3,2,75.0,32,0.0,0.0,1.0,0.0,0.0,1.0,5.645113135417142,0,0,0,73.42731423098525,32.77777777777778,23.88888888888889,59,6,29.64
2,2,4,4,3,3,2,3,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,7.4156238185669885,4,4,3,62.16342100462367,28.88888888888889,26.11111111111111,84,1,29.73
3,4,3,3,4,4,3,3,70.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.574533495341594,7,4,1,76.36467647706083,27.77777777777778,26.11111111111111,89,1,29.73
5,5,3,2,5,5,1,5,73.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.544045355786795,2,0,0,81.75595239956779,28.88888888888889,26.11111111111111,84,8,29.79
2,2,2,2,3,2,2,3,55.0,36,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786,2,2,1,63.160804032935,30.0,26.11111111111111,79,3,29.73
2,2,4,4,2,2,4,1,62.0,34,0.0,0.0,1.0,0.0,0.0,1.0,5.5327577214313575,11,6,5,73.60368636880456,31.11111111111111,25.0,70,8,29.67
2,4,3,4,5,3,4,2,78.0,29,0.0,1.0,0.0,0.0,1.0,0.0,7.9723398775954255,6,5,1,71.27534301387172,26.11111111111111,26.11111111111111,100,1,29.7
2,2,3,3,3,3,2,3,48.0,38,0.0,0.0,1.0,0.0,0.0,1.0,6.6221570848867275,7,5,1,71.24745057835945,27.77777777777778,23.88888888888889,79,1,29.7
2,3,4,3,2,2,2,2,79.0,31,0.0,0.0,0.0,1.0,1.0,0.0,5.643426733089695,9,4,3,66.09917714122436,32.77777777777778,23.88888888888889,59,6,29.73
1,1,4,4,2,1,4,1,55.0,36,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786,7,6,1,55.60718713266329,30.0,26.11111111111111,79,3,29.73
2,2,3,3,3,2,4,2,81.0,29,1.0,0.0,0.0,0.0,1.0,0.0,8.248496030706109,7,10,1,69.22158483677178,33.888888888888886,25.0,59,6,29.7
3,4,3,2,3,2,2,3,57.0,35,1.0,0.0,0.0,0.0,1.0,0.0,6.8538417686334725,0,0,0,67.85835520109002,32.22222222222222,25.0,66,7,29.73
5,5,3,2,5,5,1,5,61.0,33,1.0,0.0,0.0,0.0,1.0,0.0,6.434866702959665,1,0,0,75.46229760553851,32.22222222222222,25.0,66,7,29.73
3,3,4,4,3,2,3,3,55.0,36,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786,11,11,0,66.54634899359888,28.88888888888889,27.22222222222222,89,6,29.73
3,3,4,4,2,2,3,2,79.0,31,0.0,0.0,1.0,0.0,0.0,1.0,6.9197071907894525,9,8,4,75.84736504577928,31.11111111111111,25.0,70,12,29.64
2,2,5,5,1,1,5,1,77.0,31,0.0,0.0,1.0,0.0,0.0,1.0,6.644202397852575,13,5,3,77.8150509494872,31.11111111111111,25.0,70,8,29.67
3,4,3,3,5,5,1,4,62.0,33,0.0,0.0,0.0,1.0,1.0,0.0,6.777328015657088,3,2,2,68.68970799556497,31.11111111111111,25.0,70,1,29.73
1,1,3,3,2,2,2,2,53.0,36,1.0,0.0,0.0,0.0,1.0,0.0,5.5698732630988665,3,3,2,50.1636916552672,32.77777777777778,23.88888888888889,59,2,29.67
3,3,5,5,2,2,5,2,48.0,38,0.0,0.0,1.0,0.0,0.0,1.0,6.6221570848867275,10,9,3,79.07615817222613,27.77777777777778,23.88888888888889,79,1,29.7
3,4,3,3,5,5,4,2,55.0,35,0.0,0.0,0.0,1.0,0.0,1.0,6.960822634949151,6,3,4,72.53206796442689,27.22222222222222,26.11111111111111,94,2,29.76
2,1,4,4,3,1,4,2,61.0,35,0.0,0.0,1.0,0.0,0.0,1.0,5.538193478225584,2,0,0,79.70423351089049,31.11111111111111,25.0,70,10,29.67
4,4,2,2,4,4,2,4,68.0,33,1.0,0.0,0.0,0.0,1.0,0.0,8.410632053795693,2,2,5,67.1220918045407,32.22222222222222,25.0,66,7,29.67
2,2,3,4,3,2,3,2,77.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.416159928752833,9,6,0,63.49357984487403,28.88888888888889,27.22222222222222,89,6,29.73
3,3,5,5,3,3,3,2,85.0,29,0.0,0.0,0.0,1.0,0.0,1.0,6.814369445451418,4,5,3,53.852001711987846,28.88888888888889,26.11111111111111,84,0,29.73
3,2,3,3,2,2,3,2,56.0,36,0.0,0.0,0.0,1.0,0.0,1.0,7.180357448916791,0,0,0,66.31942475814671,31.11111111111111,25.0,70,10,29.76
2,2,5,5,1,2,4,1,61.0,34,0.0,0.0,0.0,1.0,1.0,0.0,6.30072547608243,8,7,4,67.13924881120347,32.77777777777778,23.88888888888889,59,6,29.73
2,2,3,3,3,2,2,2,51.0,37,1.0,0.0,0.0,0.0,1.0,0.0,6.426916396226491,5,4,5,68.9767191572645,32.77777777777778,25.0,63,7,29.64
4,4,4,3,3,3,3,3,89.0,28,0.0,0.0,0.0,1.0,0.0,1.0,7.061095896921059,1,3,3,50.13371682288211,27.77777777777778,26.11111111111111,89,2,29.73
3,3,2,2,3,2,2,2,78.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.23432907639552,6,9,2,73.11125761677434,27.77777777777778,26.11111111111111,89,5,29.7
2,3,4,3,2,2,4,2,67.0,34,0.0,0.0,0.0,1.0,0.0,1.0,5.56180640978047,0,2,0,70.71763027716489,28.88888888888889,25.0,79,3,29.79
2,2,1,1,5,5,1,5,59.0,35,0.0,0.0,1.0,0.0,0.0,1.0,7.147296663196176,4,1,0,40.253335473285105,30.0,25.0,74,8,29.64
4,5,3,3,4,5,2,4,73.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.8656153828817805,5,4,2,65.4464795621723,27.77777777777778,26.11111111111111,89,1,29.73
4,4,2,2,5,5,2,5,69.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.571181973186025,3,1,0,52.16447657392517,30.0,25.0,74,0,29.73
3,4,3,3,5,5,2,4,82.0,29,0.0,0.0,1.0,0.0,0.0,1.0,6.846538400442268,3,3,3,45.3266556008593,28.88888888888889,26.11111111111111,84,10,29.67
5,5,5,4,5,3,2,2,52.0,36,0.0,0.0,0.0,1.0,0.0,1.0,6.479292747506862,2,0,5,49.258172253749606,28.88888888888889,25.0,79,2,29.7
4,4,1,1,3,3,1,4,53.0,36,1.0,0.0,0.0,0.0,1.0,0.0,7.277519521944598,0,0,1,52.87779921792493,32.22222222222222,22.22222222222222,55,3,29.67
4,5,2,2,5,5,4,2,53.0,35,0.0,0.0,0.0,1.0,0.0,1.0,7.18265702158009,2,0,2,65.28609682164759,26.11111111111111,26.11111111111111,100,3,29.76
4,5,4,3,4,3,3,3,73.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.569706944242685,2,0,0,63.51867340134288,28.88888888888889,26.11111111111111,84,8,29.79
1,1,4,4,1,1,5,1,63.0,34,0.0,0.0,0.0,1.0,0.0,1.0,5.553056288772904,7,5,2,69.94933480233338,27.77777777777778,27.22222222222222,94,2,29.73
3,3,4,4,4,2,2,4,63.0,34,0.0,0.0,1.0,0.0,0.0,1.0,7.048320595099042,6,4,3,74.28450170997247,31.11111111111111,23.88888888888889,66,6,29.61
2,2,5,5,1,1,1,1,88.0,28,0.0,0.0,0.0,1.0,0.0,1.0,5.565722894430606,10,13,3,69.73592101933933,28.88888888888889,26.11111111111111,84,0,29.73
3,5,3,4,5,3,4,4,65.0,32,0.0,0.0,0.0,1.0,0.0,1.0,7.853720796958079,3,3,0,73.11165425941931,27.77777777777778,25.0,84,2,29.7
2,3,3,2,3,2,4,2,59.0,35,0.0,0.0,0.0,1.0,0.0,1.0,8.333827916409714,2,1,0,73.7811925483941,31.11111111111111,25.0,70,14,29.76
4,2,4,4,2,2,4,2,65.0,33,0.0,0.0,1.0,0.0,0.0,1.0,5.547938201782941,3,1,0,79.49547246284459,30.0,25.0,74,9,29.67
2,2,4,4,3,2,2,3,68.0,33,0.0,0.0,0.0,1.0,1.0,0.0,7.2389288226766775,4,1,5,55.15962837069856,32.22222222222222,25.0,66,6,29.73
2,2,2,2,4,3,3,4,78.0,30,1.0,0.0,0.0,0.0,1.0,0.0,8.248496030706109,3,2,4,58.356020922476254,33.888888888888886,25.0,59,6,29.7
1,1,2,2,3,3,2,3,51.0,36,0.0,0.0,1.0,0.0,0.0,1.0,8.376296964696806,4,3,3,46.56208501370273,30.0,25.0,74,3,29.64
2,2,3,3,2,1,4,2,79.0,31,0.0,0.0,0.0,1.0,1.0,0.0,5.643426733089695,8,7,6,62.33279993102296,32.77777777777778,23.88888888888889,59,6,29.73
3,3,3,3,2,1,4,2,67.0,33,0.0,0.0,1.0,0.0,0.0,1.0,6.4246916304081845,8,7,1,72.51125616144296,30.0,25.0,74,10,29.64
4,4,3,3,5,5,2,4,74.0,30,0.0,0.0,0.0,1.0,0.0,1.0,6.485184174832566,4,4,1,76.54669940284161,27.77777777777778,26.11111111111111,89,1,29.73
2,2,4,4,2,2,3,2,63.0,34,0.0,0.0,0.0,1.0,0.0,1.0,6.8350110521422645,10,10,0,57.39458209683622,30.0,25.0,74,0,29.73
3,3,2,2,3,3,2,3,65.0,34,0.0,0.0,1.0,0.0,0.0,1.0,6.4227550540211675,3,3,4,67.81333631579554,31.11111111111111,25.0,70,12,29.61
2,2,4,4,2,2,4,3,75.0,32,0.0,0.0,1.0,0.0,0.0,1.0,6.166176151025662,7,4,3,71.57543812322743,32.22222222222222,23.88888888888889,62,6,29.64
2,2,3,3,3,3,3,3,69.0,32,0.0,0.0,0.0,1.0,0.0,1.0,6.640383398846991,3,2,4,69.25670901770414,30.0,25.0,74,0,29.73
3,3,3,2,4,4,2,4,71.0,32,0.0,0.0,1.0,0.0,0.0,1.0,5.542771333696848,0,0,0,82.65106828670986,30.0,25.0,74,9,29.67
