greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast
2,2,5,5,2,2,5,1,50.0,37,0.0,0.0,1.0,0.0,0.0,1.0,7.119862853459918,8,7,2,69.97075243076324
3,5,4,4,2,3,3,2,61.0,33,1.0,0.0,0.0,0.0,1.0,0.0,5.928930870655125,4,5,3,66.56072187895354
1,1,5,5,1,1,5,1,58.0,34,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885,17,6,0,61.73350614319519
1,3,4,4,3,3,4,2,59.0,34,0.0,0.0,0.0,1.0,1.0,0.0,6.777328015657088,4,4,5,54.79699967055456
1,1,3,3,2,2,3,2,60.0,34,1.0,0.0,0.0,0.0,1.0,0.0,7.203266530765332,8,9,2,71.56290158835353
2,2,3,3,3,2,2,3,49.0,36,1.0,0.0,0.0,0.0,1.0,0.0,8.367955301819842,2,3,3,54.49982617980992
2,2,1,1,5,5,1,5,49.0,37,0.0,0.0,1.0,0.0,0.0,1.0,5.694328120729331,4,1,3,63.32383447311693
4,4,2,1,3,4,2,4,74.0,30,0.0,0.0,0.0,1.0,1.0,0.0,5.7694970276291135,1,0,0,78.85794728496208
5,4,3,2,3,2,4,2,62.0,34,0.0,0.0,1.0,0.0,0.0,1.0,6.9801222853210225,0,0,0,83.58261175953977
5,4,3,3,3,4,2,4,60.0,35,0.0,0.0,0.0,1.0,1.0,0.0,5.677563927969199,1,0,0,69.81858241634579
2,2,4,4,2,1,5,1,58.0,34,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885,4,2,2,77.18233195984524
3,3,4,5,1,2,3,1,61.0,33,0.0,0.0,0.0,1.0,0.0,1.0,5.874002992725264,2,1,0,69.21556979858525
4,4,2,3,4,3,3,4,47.0,37,0.0,0.0,0.0,1.0,0.0,1.0,6.694368563981508,8,7,1,71.48865358754777
2,2,5,5,1,1,5,1,77.0,31,0.0,0.0,1.0,0.0,0.0,1.0,7.0573137577692595,10,7,3,68.16645111784833
3,3,2,2,3,3,2,3,78.0,31,1.0,0.0,0.0,0.0,1.0,0.0,5.574105052449228,5,5,0,68.96624778659043
3,3,2,2,4,3,2,4,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,2,2,2,70.62248689669448
3,3,3,5,3,3,4,2,63.0,33,0.0,0.0,0.0,1.0,1.0,0.0,5.99450618775817,6,7,0,71.1070010697528
5,4,3,2,3,3,3,3,84.0,29,0.0,0.0,0.0,1.0,1.0,0.0,7.147294097484697,2,0,6,65.90782863978238
2,2,3,2,2,1,2,2,55.0,35,0.0,0.0,0.0,1.0,1.0,0.0,5.568986958603588,2,0,0,75.15800015874194
3,3,4,4,2,2,4,2,78.0,31,1.0,0.0,0.0,0.0,1.0,0.0,5.574105052449228,6,4,5,72.84342181069515
3,3,4,3,3,3,3,3,51.0,36,1.0,0.0,0.0,0.0,1.0,0.0,5.593786972991644,4,3,3,76.35335203119317
3,3,1,1,3,3,2,3,49.0,37,1.0,0.0,0.0,0.0,1.0,0.0,5.7365276080147565,3,1,3,62.916700662625644
1,1,3,3,2,2,3,2,75.0,32,0.0,0.0,1.0,0.0,0.0,1.0,5.645113135417142,0,0,0,73.42731423098525
2,2,4,4,3,3,2,3,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,7.4156238185669885,4,4,3,62.16342100462367
3,4,3,3,4,4,3,3,70.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.574533495341594,7,4,1,76.36467647706083
5,5,3,2,5,5,1,5,73.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.544045355786795,2,0,0,81.75595239956779
2,2,2,2,3,2,2,3,55.0,36,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786,2,2,1,63.160804032935
2,2,4,4,2,2,4,1,62.0,34,0.0,0.0,1.0,0.0,0.0,1.0,5.5327577214313575,11,6,5,73.60368636880456
2,4,3,4,5,3,4,2,78.0,29,0.0,1.0,0.0,0.0,1.0,0.0,7.9723398775954255,6,5,1,71.27534301387172
2,2,3,3,3,3,2,3,48.0,38,0.0,0.0,1.0,0.0,0.0,1.0,6.6221570848867275,7,5,1,71.24745057835945
2,3,4,3,2,2,2,2,79.0,31,0.0,0.0,0.0,1.0,1.0,0.0,5.643426733089695,9,4,3,66.09917714122436
1,1,4,4,2,1,4,1,55.0,36,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786,7,6,1,55.60718713266329
2,2,3,3,3,2,4,2,81.0,29,1.0,0.0,0.0,0.0,1.0,0.0,8.248496030706109,7,10,1,69.22158483677178
3,4,3,2,3,2,2,3,57.0,35,1.0,0.0,0.0,0.0,1.0,0.0,6.8538417686334725,0,0,0,67.85835520109002
5,5,3,2,5,5,1,5,61.0,33,1.0,0.0,0.0,0.0,1.0,0.0,6.434866702959665,1,0,0,75.46229760553851
3,3,4,4,3,2,3,3,55.0,36,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786,11,11,0,66.54634899359888
3,3,4,4,2,2,3,2,79.0,31,0.0,0.0,1.0,0.0,0.0,1.0,6.9197071907894525,9,8,4,75.84736504577928
2,2,5,5,1,1,5,1,77.0,31,0.0,0.0,1.0,0.0,0.0,1.0,6.644202397852575,13,5,3,77.8150509494872
3,4,3,3,5,5,1,4,62.0,33,0.0,0.0,0.0,1.0,1.0,0.0,6.777328015657088,3,2,2,68.68970799556497
1,1,3,3,2,2,2,2,53.0,36,1.0,0.0,0.0,0.0,1.0,0.0,5.5698732630988665,3,3,2,50.1636916552672
3,3,5,5,2,2,5,2,48.0,38,0.0,0.0,1.0,0.0,0.0,1.0,6.6221570848867275,10,9,3,79.07615817222613
3,4,3,3,5,5,4,2,55.0,35,0.0,0.0,0.0,1.0,0.0,1.0,6.960822634949151,6,3,4,72.53206796442689
2,1,4,4,3,1,4,2,61.0,35,0.0,0.0,1.0,0.0,0.0,1.0,5.538193478225584,2,0,0,79.70423351089049
4,4,2,2,4,4,2,4,68.0,33,1.0,0.0,0.0,0.0,1.0,0.0,8.410632053795693,2,2,5,67.1220918045407
2,2,3,4,3,2,3,2,77.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.416159928752833,9,6,0,63.49357984487403
3,3,5,5,3,3,3,2,85.0,29,0.0,0.0,0.0,1.0,0.0,1.0,6.814369445451418,4,5,3,53.852001711987846
3,2,3,3,2,2,3,2,56.0,36,0.0,0.0,0.0,1.0,0.0,1.0,7.180357448916791,0,0,0,66.31942475814671
2,2,5,5,1,2,4,1,61.0,34,0.0,0.0,0.0,1.0,1.0,0.0,6.30072547608243,8,7,4,67.13924881120347
2,2,3,3,3,2,2,2,51.0,37,1.0,0.0,0.0,0.0,1.0,0.0,6.426916396226491,5,4,5,68.9767191572645
4,4,4,3,3,3,3,3,89.0,28,0.0,0.0,0.0,1.0,0.0,1.0,7.061095896921059,1,3,3,50.13371682288211
3,3,2,2,3,2,2,2,78.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.23432907639552,6,9,2,73.11125761677434
2,3,4,3,2,2,4,2,67.0,34,0.0,0.0,0.0,1.0,0.0,1.0,5.56180640978047,0,2,0,70.71763027716489
2,2,1,1,5,5,1,5,59.0,35,0.0,0.0,1.0,0.0,0.0,1.0,7.147296663196176,4,1,0,40.253335473285105
4,5,3,3,4,5,2,4,73.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.8656153828817805,5,4,2,65.4464795621723
4,4,2,2,5,5,2,5,69.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.571181973186025,3,1,0,52.16447657392517
3,4,3,3,5,5,2,4,82.0,29,0.0,0.0,1.0,0.0,0.0,1.0,6.846538400442268,3,3,3,45.3266556008593
5,5,5,4,5,3,2,2,52.0,36,0.0,0.0,0.0,1.0,0.0,1.0,6.479292747506862,2,0,5,49.258172253749606
4,4,1,1,3,3,1,4,53.0,36,1.0,0.0,0.0,0.0,1.0,0.0,7.277519521944598,0,0,1,52.87779921792493
4,5,2,2,5,5,4,2,53.0,35,0.0,0.0,0.0,1.0,0.0,1.0,7.18265702158009,2,0,2,65.28609682164759
4,5,4,3,4,3,3,3,73.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.569706944242685,2,0,0,63.51867340134288
1,1,4,4,1,1,5,1,63.0,34,0.0,0.0,0.0,1.0,0.0,1.0,5.553056288772904,7,5,2,69.94933480233338
3,3,4,4,4,2,2,4,63.0,34,0.0,0.0,1.0,0.0,0.0,1.0,7.048320595099042,6,4,3,74.28450170997247
2,2,5,5,1,1,1,1,88.0,28,0.0,0.0,0.0,1.0,0.0,1.0,5.565722894430606,10,13,3,69.73592101933933
3,5,3,4,5,3,4,4,65.0,32,0.0,0.0,0.0,1.0,0.0,1.0,7.853720796958079,3,3,0,73.11165425941931
2,3,3,2,3,2,4,2,59.0,35,0.0,0.0,0.0,1.0,0.0,1.0,8.333827916409714,2,1,0,73.7811925483941
