o3_8,o3,pm10,pm25,co,so2,so2_24,no2,aqi,aqi_rank
0,0.001,5.0,4.0,1.6,22.0,0,7.0,18.181818181818183,0
0,0.01,2.0,1.0,2.1,45.0,0,7.0,23.863636363636363,0
0,0.005,4.0,3.0,1.7,28.0,0,7.0,19.318181818181817,0
0,0.0,5.0,3.0,1.6,22.0,0,7.0,18.181818181818183,0
0,0.0,4.0,2.0,2.3,42.0,0,7.0,26.136363636363633,0
0,0.011000000000000001,8.0,7.0,2.2,43.0,0,7.0,25.0,0
0,0.001,6.0,6.0,2.1,38.0,0,7.0,23.863636363636363,0
0,0.006999999999999999,2.0,2.0,1.8,31.0,0,7.0,20.454545454545453,0
0,0.01,3.0,3.0,2.2,45.0,0,7.0,25.0,0
0,0.005,3.0,2.0,2.1,34.0,0,7.0,23.863636363636363,0
0,0.002,3.0,3.0,2.4,49.0,0,7.0,27.27272727272727,0
0,0.008,2.0,3.0,1.9,31.0,0,7.0,21.59090909090909,0
0,0.006999999999999999,2.0,2.0,1.7,29.0,0,7.0,19.318181818181817,0
0,0.006,3.0,3.0,1.8,27.0,0,7.0,20.454545454545453,0
0,0.006999999999999999,3.0,3.0,1.9,27.0,0,7.0,21.59090909090909,0
0,0.006999999999999999,4.0,2.0,1.8,31.0,0,7.0,20.454545454545453,0
0,0.008,3.0,2.0,2.0,37.0,0,7.0,22.727272727272727,0
0,0.008,3.0,2.0,1.9,37.0,0,7.0,21.59090909090909,0
0,0.01,4.0,2.0,2.0,43.0,0,7.0,22.727272727272727,0
0,0.006999999999999999,9.0,4.0,1.8,26.0,0,7.0,20.454545454545453,0
0,0.012,5.0,6.0,2.6,49.0,0,7.0,29.545454545454547,0
0,0.01,3.0,2.0,1.9,40.0,0,7.0,21.59090909090909,0
0,0.006999999999999999,3.0,1.0,1.8,27.0,0,7.0,20.454545454545453,0
0,0.004,6.0,4.0,1.6,20.0,0,7.0,18.181818181818183,0
0,0.001,5.0,4.0,1.6,22.0,0,7.0,18.181818181818183,0
0,0.003,3.0,2.0,2.1,35.0,0,7.0,23.863636363636363,0
0,0.006999999999999999,2.0,1.0,2.2,42.0,0,7.0,25.0,0
0,0.008,1.0,1.0,2.0,35.0,0,7.0,22.727272727272727,0
0,0.008,9.0,4.0,1.9,37.0,0,7.0,21.59090909090909,0
0,0.002,3.0,2.0,2.5,47.0,0,6.0,28.409090909090907,0
0,0.002,4.0,2.0,2.0,39.0,0,7.0,22.727272727272727,0
0,0.0,10.0,8.0,2.2,45.0,0,7.0,25.974025974025974,0
0,0.002,6.0,7.0,2.4,43.0,0,7.0,27.27272727272727,0
0,0.001,5.0,5.0,1.9,32.0,0,7.0,21.59090909090909,0
0,0.001,5.0,5.0,2.0,38.0,0,7.0,22.727272727272727,0
0,0.009000000000000001,6.0,3.0,2.0,52.0,0,7.0,22.727272727272727,0
0,0.009000000000000001,2.0,2.0,2.0,52.0,0,7.0,22.727272727272727,0
0,0.004,7.0,6.0,2.6,75.0,0,6.0,29.545454545454547,0
0,0.009000000000000001,3.0,3.0,1.9,44.0,0,7.0,21.59090909090909,0
0,0.009000000000000001,3.0,3.0,1.9,44.0,0,7.0,21.59090909090909,0
0,0.011000000000000001,3.0,3.0,2.4,49.0,0,7.0,27.27272727272727,0
0,0.009000000000000001,2.0,2.0,2.0,30.0,0,7.0,22.727272727272727,0
0,0.01,2.0,3.0,2.3,46.0,0,7.0,26.136363636363633,0
0,0.008,3.0,2.0,1.9,28.0,0,7.0,21.59090909090909,0
0,0.01,4.0,3.0,1.8,34.0,0,7.0,20.454545454545453,0
0,0.01,5.0,3.0,2.1,46.0,0,7.0,23.863636363636363,0
0,0.006999999999999999,4.0,3.0,1.9,34.0,0,7.0,21.59090909090909,0
0,0.008,3.0,2.0,2.0,35.0,0,7.0,22.727272727272727,0
0,0.008,3.0,2.0,2.0,37.0,0,7.0,22.727272727272727,0
0,0.008,19.0,5.0,2.0,46.0,0,7.0,22.727272727272727,0
0,0.009000000000000001,5.0,3.0,2.0,32.0,0,7.0,22.727272727272727,0
0,0.001,1.0,0.0,1.4,15.0,0,7.0,15.909090909090908,0
0,0.003,5.0,3.0,2.4,44.0,0,7.0,27.27272727272727,0
0,0.002,0.0,0.0,1.4,15.0,0,7.0,15.909090909090908,0
0,0.011000000000000001,9.0,5.0,2.0,38.0,0,7.0,22.727272727272727,0
0,0.002,0.0,0.0,1.4,15.0,0,7.0,15.909090909090908,0
0,0.003,1.0,2.0,1.4,21.0,0,7.0,15.909090909090908,0
0,0.002,4.0,4.0,2.2,56.0,0,6.0,25.0,0
0,0.009000000000000001,4.0,2.0,2.1,38.0,0,7.0,23.863636363636363,0
0,0.006,2.0,2.0,2.1,44.0,0,7.0,23.863636363636363,0
0,0.006,2.0,1.0,2.0,41.0,0,7.0,22.727272727272727,0
0,0.006,5.0,2.0,2.1,37.0,0,7.0,23.863636363636363,0
0,0.003,6.0,2.0,2.2,38.0,0,7.0,25.0,0
0,0.024,2.0,1.0,1.9,26.0,0,7.0,21.59090909090909,0
0,0.002,3.0,3.0,1.6,29.0,0,7.0,18.181818181818183,0
0,0.012,3.0,2.0,1.9,39.0,0,7.0,21.59090909090909,0
0,0.0,4.0,2.0,2.0,37.0,0,7.0,22.727272727272727,0
0,0.002,4.0,1.0,1.9,36.0,0,7.0,21.59090909090909,0
0,0.004,8.0,10.0,2.0,33.0,0,7.0,32.467532467532465,0
0,0.011000000000000001,5.0,4.0,2.0,42.0,0,7.0,22.727272727272727,0
0,0.002,10.0,7.0,2.2,50.0,0,7.0,25.0,0
0,0.01,10.0,6.0,1.9,35.0,0,7.0,21.59090909090909,0
0,0.003,7.0,5.0,2.4,40.0,0,7.0,27.27272727272727,0
0,0.001,5.0,5.0,2.1,48.0,0,7.0,23.863636363636363,0
0,0.003,7.0,8.0,2.2,48.0,0,7.0,25.974025974025974,0
0,0.003,7.0,7.0,2.0,46.0,0,7.0,22.727272727272727,0
0,0.004,6.0,6.0,2.4,60.0,0,6.0,27.27272727272727,0
0,0.008,2.0,2.0,1.8,29.0,0,7.0,20.454545454545453,0
0,0.01,5.0,5.0,2.2,49.0,0,7.0,25.0,0
0,0.01,3.0,4.0,2.1,44.0,0,7.0,23.863636363636363,0
0,0.006,3.0,2.0,2.1,33.0,0,7.0,23.863636363636363,0
0,0.021,2.0,2.0,1.8,26.0,0,7.0,20.454545454545453,0
0,0.001,4.0,3.0,2.3,40.0,0,7.0,26.136363636363633,0
0,0.011000000000000001,2.0,2.0,2.4,47.0,0,7.0,27.27272727272727,0
0,0.009000000000000001,2.0,3.0,1.9,34.0,0,7.0,21.59090909090909,0
0,0.005,4.0,5.0,2.1,38.0,0,7.0,23.863636363636363,0
0,0.008,4.0,3.0,1.8,36.0,0,7.0,20.454545454545453,0
0,0.006999999999999999,5.0,4.0,1.8,29.0,0,7.0,20.454545454545453,0
0,0.01,5.0,3.0,2.1,50.0,0,7.0,23.863636363636363,0
0,0.001,2.0,4.0,2.7,1.0,0,7.0,30.681818181818183,0
