o3_8,o3,pm10,pm25,co,so2,so2_24,no2,aqi,aqi_rank
0,0.006,18.0,35.0,7.6,27.0,0,6.0,99.01507537688444,1
0,0.006,10.0,15.0,7.7,25.0,0,7.0,83.0,1
0,0.002,16.0,5.0,7.5,27.0,0,6.0,81.0,1
0,0.001,4.0,2.0,7.3,30.0,0,8.0,79.0,1
0,0.006,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.008,11.0,8.0,6.5,34.0,0,8.0,71.0,1
0,0.022000000000000002,7.0,13.0,3.2,1.0,0,6.0,42.20779220779221,0
0,0.001,7.0,7.0,7.4,21.0,0,10.0,80.0,1
0,0.024,8.0,14.0,6.6,31.0,0,9.0,72.0,1
0,0.004,214.0,38.0,7.6,20.0,0,6.0,130.2020202020202,2
0,0.006,4.0,6.0,2.9,1.0,0,7.0,32.95454545454545,0
0,0.002,3.0,3.0,7.5,29.0,0,6.0,81.0,1
0,0.006,3.0,1.0,8.2,28.0,0,6.0,88.0,1
0,0.003,3.0,4.0,3.0,1.0,0,7.0,34.09090909090909,0
0,0.0,7.0,12.0,7.5,38.0,0,6.0,81.0,1
0,0.004,6.0,7.0,7.0,23.0,0,6.0,76.0,1
0,0.019,3.0,2.0,6.8,25.0,0,8.0,74.0,1
0,0.008,6.0,6.0,8.2,26.0,0,6.0,88.0,1
0,0.018000000000000002,4.0,7.0,3.6,1.0,0,11.0,40.90909090909091,0
0,0.04,2.0,2.0,5.9,20.0,0,7.0,65.0,1
0,0.03,6.0,3.0,5.8,22.0,0,7.0,64.0,1
0,0.006,5.0,4.0,6.5,26.0,0,7.0,71.0,1
0,0.037000000000000005,4.0,4.0,6.6,24.0,0,7.0,72.0,1
0,0.002,5.0,5.0,7.2,37.0,0,7.0,78.0,1
0,0.005,7.0,9.0,167.4,26.0,0,9.0,29.220779220779217,0
0,0.002,220.0,340.0,5.9,25.0,0,7.0,344.89889889889884,5
0,0.004,5.0,8.0,6.4,34.0,0,8.0,70.0,1
0,0.006999999999999999,7.0,14.0,3.4,1.0,0,7.0,45.45454545454545,0
0,0.009000000000000001,2.0,2.0,7.6,25.0,0,8.0,82.0,1
0,0.013999999999999999,16.0,15.0,4.8,42.0,0,8.0,54.0,1
0,0.013000000000000001,9.0,13.0,6.4,50.0,0,7.0,70.0,1
0,0.01,2.0,2.0,2.1,47.0,0,7.0,23.863636363636363,0
0,0.011000000000000001,1.0,1.0,8.0,19.0,0,7.0,86.0,1
0,0.016,7.0,13.0,2.8,1.0,0,11.0,42.20779220779221,0
0,0.032,22.0,43.0,6.6,13.0,0,7.0,107.48148148148148,2
0,0.004,6.0,8.0,3.4,1.0,0,7.0,38.63636363636363,0
0,0.001,103.0,210.0,5.4,55.0,0,7.0,230.18418418418415,4
0,0.002,7.0,9.0,5.4,28.0,0,7.0,60.0,1
0,0.006999999999999999,5.0,3.0,6.5,36.0,0,7.0,71.0,1
0,0.004,7.0,5.0,10.1,34.0,0,7.0,111.13793103448276,2
0,0.006,5.0,5.0,7.3,25.0,0,3.0,79.0,1
0,0.004,3.0,1.0,6.4,28.0,0,7.0,70.0,1
0,0.004,3.0,3.0,7.8,35.0,0,8.0,84.0,1
0,0.006,68.0,128.0,8.0,27.0,0,6.0,182.93430656934302,3
0,0.01,4.0,3.0,7.6,35.0,0,7.0,82.0,1
0,0.003,6.0,9.0,6.0,28.0,0,8.0,66.0,1
0,0.001,2.0,4.0,4.4,1.0,0,7.0,50.0,1
0,0.003,3.0,3.0,31.9,47.0,0,7.0,307.92929292929284,5
