hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Late Night,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
64.0,34,59,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.161788067054938,28.88888888888889,25.0,79,3,29.79
52.0,36,63,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.532568185539929,31.11111111111111,23.88888888888889,66,5,29.76
63.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.373603731714607,31.11111111111111,23.88888888888889,66,8,29.64
67.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.708452373253476,30.0,23.88888888888889,70,6,29.7
28.0,29,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.688500770172494,26.11111111111111,23.88888888888889,89,3,29.7
60.0,36,26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.685963375083,32.77777777777778,25.0,63,13,29.67
74.0,31,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.619312590933603,27.77777777777778,26.11111111111111,89,1,29.73
60.0,35,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.6586748188596205,32.22222222222222,25.0,66,14,29.55
60.0,34,104,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.631462021262637,31.11111111111111,25.0,70,5,29.73
56.0,36,135,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.480903099096382,32.22222222222222,25.0,66,8,29.64
64.0,33,115,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.963112641835782,30.0,25.0,74,1,29.76
62.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.388459535380317,31.11111111111111,25.0,70,12,29.61
59.0,34,32,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.1316158152554285,31.11111111111111,23.88888888888889,66,8,29.7
84.0,28,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.545364008829718,27.22222222222222,26.11111111111111,94,8,29.67
73.0,30,27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.136681562869434,27.22222222222222,25.0,89,7,29.73
61.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.5305501084862705,32.77777777777778,23.88888888888889,59,6,29.64
54.0,37,35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.326672311859058,32.22222222222222,26.11111111111111,70,9,29.67
52.0,37,431,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.371691469249816,32.22222222222222,23.88888888888889,62,8,29.64
71.0,32,57,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.002228693127249,30.0,26.11111111111111,79,1,29.73
71.0,32,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.079238080734006,30.0,25.0,74,10,29.64
70.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.8356245481040085,30.0,25.0,74,8,29.64
67.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.664708531694214,31.11111111111111,27.22222222222222,79,7,29.64
69.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.677973797322964,28.88888888888889,25.0,79,7,29.7
65.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.333698349900985,31.11111111111111,26.11111111111111,75,2,29.73
77.0,31,724,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.014463574017785,27.77777777777778,25.0,84,1,29.73
56.0,36,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.887706257045717,32.22222222222222,25.0,66,6,29.73
74.0,31,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.683060625657087,30.0,26.11111111111111,79,5,29.76
70.0,32,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.770994343685556,27.77777777777778,26.11111111111111,89,5,29.7
52.0,36,31,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.460411704239148,31.11111111111111,23.88888888888889,66,5,29.76
76.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.591626411518854,27.77777777777778,26.11111111111111,89,5,29.7
68.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.552475067678632,28.88888888888889,25.0,79,7,29.7
63.0,32,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.420034668609753,28.88888888888889,25.0,79,2,29.7
53.0,35,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.435928168626206,32.77777777777778,23.88888888888889,59,2,29.67
70.0,32,67,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.7986158673634325,30.0,26.11111111111111,79,1,29.73
57.0,36,19,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.272654021505049,32.77777777777778,23.88888888888889,59,6,29.73
65.0,33,30,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.441269363423556,30.0,25.0,74,2,29.67
68.0,33,42,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.774836119625719,31.11111111111111,26.11111111111111,75,8,29.7
68.0,33,44,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.958382587928113,31.11111111111111,26.11111111111111,75,8,29.7
67.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.8093918187391935,32.22222222222222,23.88888888888889,62,6,29.64
61.0,34,625,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.62845660063869,30.0,25.0,74,3,29.64
62.0,34,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.422672232239169,31.11111111111111,25.0,70,10,29.76
62.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.579439214973093,31.11111111111111,25.0,70,8,29.67
55.0,35,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.009107083687715,31.11111111111111,22.77777777777778,62,5,29.76
59.0,34,26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.035402494744612,31.11111111111111,25.0,70,7,29.7
66.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.590521129508632,31.11111111111111,23.88888888888889,66,8,29.64
74.0,31,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.562457565543219,28.88888888888889,26.11111111111111,84,5,29.76
90.0,28,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.224401192535652,27.22222222222222,26.11111111111111,94,7,29.67
59.0,34,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.570057851490695,31.11111111111111,23.88888888888889,66,9,29.61
30.0,29,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.694419739118096,25.0,25.0,100,3,29.7
59.0,34,23,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.773045254325969,32.77777777777778,25.0,63,9,29.67
65.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.4275392630568815,30.0,25.0,74,9,29.67
64.0,33,85,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.013783237443686,31.11111111111111,26.11111111111111,75,8,29.7
77.0,31,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.220959673015617,27.77777777777778,27.22222222222222,94,2,29.73
68.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.336806125391845,31.11111111111111,27.22222222222222,79,7,29.64
73.0,31,37,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.169452115634111,27.77777777777778,26.11111111111111,89,2,29.73
64.0,34,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.847477450449488,30.0,25.0,74,2,29.76
60.0,34,11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.060703024231403,32.22222222222222,25.0,66,7,29.67
76.0,30,17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.357473653865254,27.77777777777778,25.0,84,3,29.7
59.0,34,41,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.42420545930479,31.11111111111111,25.0,70,1,29.73
66.0,33,50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.611751855945842,28.88888888888889,23.88888888888889,74,6,29.79
65.0,33,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.392237836130256,32.22222222222222,26.11111111111111,70,2,29.76
59.0,35,92,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.562292872537918,32.77777777777778,25.0,63,9,29.67
