timestamp,image_folder_path,image,greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2020-07-12 07:21:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594513259.jpg,2,5,2,3,2,3,3,4,53.0,36,67.0,0.0,0.0,0.0,1.0,0.0,1.0,8.111679392091457,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:22:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594513340.jpg,3,3,3,5,1,2,2,3,61.0,34,26.0,0.0,0.0,0.0,1.0,0.0,1.0,8.222342445146879,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:25:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594513537.jpg,2,4,3,2,2,2,4,2,65.0,32,19.0,0.0,0.0,0.0,1.0,0.0,1.0,8.274275794438738,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:29:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594513781.jpg,3,5,3,4,5,3,4,4,65.0,32,11.0,0.0,0.0,0.0,1.0,0.0,1.0,7.853720796958079,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:34:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594514044.jpg,3,4,4,2,3,3,3,2,61.0,34,5.0,0.0,0.0,0.0,1.0,0.0,1.0,7.877211547092307,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:35:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594514126.jpg,5,5,5,2,5,4,5,5,67.0,31,26.0,0.0,0.0,0.0,1.0,0.0,1.0,7.227510450005213,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:37:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594514264.jpg,4,5,3,2,5,3,2,3,61.0,34,11.0,0.0,0.0,0.0,1.0,0.0,1.0,7.083604483472503,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:39:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594514386.jpg,3,2,3,5,3,2,2,2,68.0,31,27.0,0.0,0.0,0.0,1.0,0.0,1.0,6.61273101729244,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:43:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594514597.jpg,2,2,4,4,4,2,4,2,68.0,31,52.0,0.0,0.0,0.0,1.0,0.0,1.0,6.885543685156756,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:49:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594514949.jpg,2,3,4,5,2,2,3,2,63.0,33,27.0,0.0,0.0,0.0,1.0,0.0,1.0,6.841085293182863,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:51:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594515070.jpg,4,4,5,3,3,2,3,2,65.0,32,21.0,0.0,0.0,0.0,1.0,0.0,1.0,5.757066489727296,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:53:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594515179.jpg,5,5,5,5,4,3,4,3,67.0,32,40.0,0.0,0.0,0.0,1.0,0.0,1.0,5.567945571101583,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:55:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594515342.jpg,4,5,4,5,2,2,4,2,61.0,33,109.0,0.0,0.0,0.0,1.0,0.0,1.0,5.497765243721812,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:56:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594515407.jpg,2,2,5,5,1,2,5,1,61.0,33,120.0,0.0,0.0,0.0,1.0,0.0,1.0,5.5810064281457095,27.77777777777778,25.0,84,2,29.7
2020-07-12 07:58:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594515524.jpg,2,5,2,3,4,4,3,2,61.0,33,124.0,0.0,0.0,0.0,1.0,0.0,1.0,5.5697145867793845,27.77777777777778,25.0,84,2,29.7
2020-07-12 08:01:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594515688.jpg,3,3,4,5,1,2,3,1,61.0,33,25.0,0.0,0.0,0.0,1.0,0.0,1.0,5.874002992725264,28.88888888888889,25.0,79,2,29.7
2020-07-12 08:03:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594515788.jpg,4,3,2,2,4,3,4,4,63.0,32,26.0,0.0,0.0,0.0,1.0,0.0,1.0,6.162426959198651,28.88888888888889,25.0,79,2,29.7
2020-07-12 08:04:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594515884.jpg,3,5,4,5,1,3,3,2,63.0,32,15.0,0.0,0.0,0.0,1.0,0.0,1.0,6.3716369143899865,28.88888888888889,25.0,79,2,29.7
2020-07-12 08:08:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594516105.jpg,5,5,3,4,5,4,2,4,62.0,32,42.0,0.0,0.0,0.0,1.0,0.0,1.0,6.68063880771663,28.88888888888889,25.0,79,2,29.7
2020-07-12 08:10:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594516250.jpg,5,5,2,2,5,5,1,4,61.0,33,25.0,0.0,0.0,0.0,1.0,0.0,1.0,6.4135724923896085,28.88888888888889,25.0,79,2,29.7
2020-07-12 08:11:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594516315.jpg,5,5,2,2,4,4,2,4,62.0,33,18.0,0.0,0.0,0.0,1.0,0.0,1.0,6.413212128897532,28.88888888888889,25.0,79,2,29.7
2020-07-12 08:13:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594516386.jpg,4,5,3,4,2,3,3,3,60.0,33,127.0,0.0,0.0,0.0,1.0,0.0,1.0,6.436772207071013,28.88888888888889,25.0,79,2,29.7
2020-07-12 08:14:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594516454.jpg,3,5,4,3,3,3,3,3,63.0,32,92.0,0.0,0.0,0.0,1.0,0.0,1.0,6.425168347213409,28.88888888888889,25.0,79,2,29.7
2020-07-12 08:15:00,..\..\Data\Data HCM\DDDA_Data\merged_data\20200712\image-tag-dong-12-07-2020,28381-108410-1594516504.jpg,5,5,5,4,5,3,2,2,52.0,36,77.0,0.0,0.0,0.0,1.0,0.0,1.0,6.479292747506862,28.88888888888889,25.0,79,2,29.7
