greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
2,2,5,5,2,2,5,1,50.0,37,89.0,0.0,0.0,1.0,0.0,0.0,1.0,7.119862853459918
3,5,4,4,2,3,3,2,61.0,33,77.0,1.0,0.0,0.0,0.0,1.0,0.0,5.928930870655125
1,1,5,5,1,1,5,1,58.0,34,431.0,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885
1,3,4,4,3,3,4,2,59.0,34,104.0,0.0,0.0,0.0,1.0,1.0,0.0,6.777328015657088
1,1,3,3,2,2,3,2,60.0,34,664.0,1.0,0.0,0.0,0.0,1.0,0.0,7.203266530765332
2,2,3,3,3,2,2,3,49.0,36,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.367955301819842
2,2,1,1,5,5,1,5,49.0,37,68.0,0.0,0.0,1.0,0.0,0.0,1.0,5.694328120729331
4,4,2,1,3,4,2,4,74.0,30,6.0,0.0,0.0,0.0,1.0,1.0,0.0,5.7694970276291135
5,4,3,2,3,2,4,2,62.0,34,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.9801222853210225
5,4,3,3,3,4,2,4,60.0,35,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.677563927969199
2,2,4,4,2,1,5,1,58.0,34,431.0,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885
3,3,4,5,1,2,3,1,61.0,33,25.0,0.0,0.0,0.0,1.0,0.0,1.0,5.874002992725264
4,4,2,3,4,3,3,4,47.0,37,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.694368563981508
2,2,5,5,1,1,5,1,77.0,31,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0573137577692595
3,3,2,2,3,3,2,3,78.0,31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.574105052449228
3,3,2,2,4,3,2,4,75.0,31,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112
3,3,3,5,3,3,4,2,63.0,33,89.0,0.0,0.0,0.0,1.0,1.0,0.0,5.99450618775817
5,4,3,2,3,3,3,3,84.0,29,34.0,0.0,0.0,0.0,1.0,1.0,0.0,7.147294097484697
2,2,3,2,2,1,2,2,55.0,35,28.0,0.0,0.0,0.0,1.0,1.0,0.0,5.568986958603588
3,3,4,4,2,2,4,2,78.0,31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.574105052449228
3,3,4,3,3,3,3,3,51.0,36,166.0,1.0,0.0,0.0,0.0,1.0,0.0,5.593786972991644
3,3,1,1,3,3,2,3,49.0,37,68.0,1.0,0.0,0.0,0.0,1.0,0.0,5.7365276080147565
1,1,3,3,2,2,3,2,75.0,32,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.645113135417142
2,2,4,4,3,3,2,3,75.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.4156238185669885
3,4,3,3,4,4,3,3,70.0,32,35.0,0.0,0.0,0.0,1.0,0.0,1.0,5.574533495341594
5,5,3,2,5,5,1,5,73.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.544045355786795
2,2,2,2,3,2,2,3,55.0,36,26.0,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786
2,2,4,4,2,2,4,1,62.0,34,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.5327577214313575
2,4,3,4,5,3,4,2,78.0,29,12.0,0.0,1.0,0.0,0.0,1.0,0.0,7.9723398775954255
