hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
95,31,0,0.0,1.0,0.0,0.0,1.0,3.7737295465794447
81,35,0,1.0,0.0,0.0,1.0,0.0,3.0502234862932807
79,32,0,0.0,1.0,0.0,0.0,1.0,2.3346921777803034
83,29,0,0.0,0.0,1.0,0.0,1.0,4.180159479425937
71,31,0,0.0,1.0,0.0,0.0,1.0,5.154843335588184
62,28,0,0.0,0.0,1.0,0.0,1.0,2.7383525187545907
99,29,0,0.0,0.0,1.0,0.0,1.0,4.822717537516588
99,27,0,0.0,0.0,1.0,0.0,1.0,4.836197764161843
51,32,0,0.0,1.0,0.0,0.0,1.0,3.962929734109978
74,33,0,0.0,0.0,1.0,0.0,1.0,2.557241578883984
99,30,0,0.0,0.0,1.0,0.0,1.0,3.608761994851411
60,37,0,1.0,0.0,0.0,1.0,0.0,3.1953395680493086
72,32,0,0.0,1.0,0.0,0.0,1.0,4.89125107417914
99,30,0,0.0,0.0,1.0,0.0,1.0,3.8472851596376447
79,39,0,1.0,0.0,0.0,1.0,0.0,4.850081158582667
90,30,0,0.0,1.0,0.0,0.0,1.0,4.549679519496711
63,32,0,0.0,1.0,0.0,0.0,1.0,3.1255972537031638
73,39,0,1.0,0.0,0.0,1.0,0.0,2.4282391674622064
81,29,0,0.0,0.0,1.0,0.0,1.0,4.17901199032352
93,31,0,0.0,1.0,0.0,0.0,1.0,2.7339555825429964
99,30,0,0.0,0.0,1.0,0.0,1.0,5.063087469232562
99,28,0,0.0,0.0,1.0,0.0,1.0,5.115935345994402
85,29,0,0.0,0.0,1.0,0.0,1.0,4.652796936612021
99,31,0,0.0,0.0,1.0,0.0,1.0,4.792962921396364
96,31,0,0.0,1.0,0.0,0.0,1.0,3.732812822081096
72,39,1,1.0,0.0,0.0,1.0,0.0,2.9196063081967023
99,29,0,0.0,0.0,1.0,0.0,1.0,4.740876743372625
76,39,1,1.0,0.0,0.0,1.0,0.0,5.191638534420394
89,32,0,0.0,0.0,1.0,0.0,1.0,4.609400433381811
91,30,0,0.0,0.0,1.0,0.0,1.0,5.226928345109976
69,32,0,0.0,1.0,0.0,0.0,1.0,2.504657219382205
77,31,0,0.0,1.0,0.0,0.0,1.0,4.340987452665009
60,41,0,1.0,0.0,0.0,1.0,0.0,2.836202045799176
89,32,0,0.0,1.0,0.0,0.0,1.0,5.216858650294209
35,40,1,1.0,0.0,0.0,1.0,0.0,2.510349845115724
95,31,0,0.0,1.0,0.0,0.0,1.0,3.818107911832618
72,32,0,0.0,1.0,0.0,0.0,1.0,4.299655673524041
85,30,0,0.0,0.0,1.0,0.0,1.0,3.616134627236733
99,29,0,0.0,0.0,1.0,0.0,1.0,5.213408877201483
72,31,0,0.0,1.0,0.0,0.0,1.0,3.729153914079056
56,41,1,1.0,0.0,0.0,1.0,0.0,5.130805224804874
66,32,0,0.0,1.0,0.0,0.0,1.0,2.906520485043376
56,41,0,1.0,0.0,0.0,1.0,0.0,2.437660470899804
73,31,0,0.0,1.0,0.0,0.0,1.0,4.820070018891773
93,30,0,0.0,0.0,1.0,0.0,1.0,2.5581538958017447
96,32,0,0.0,0.0,1.0,0.0,1.0,2.2715389125895467
44,32,0,0.0,1.0,0.0,0.0,1.0,2.636286232368991
70,32,0,0.0,1.0,0.0,0.0,1.0,5.007748508980993
