hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
95,31,0,0.0,1.0,0.0,0.0,1.0,3.7737295465794447,31.11111111111111,20.0,52,10,29.76
81,35,0,1.0,0.0,0.0,1.0,0.0,3.0502234862932807,32.22222222222222,18.88888888888889,46,8,29.91
79,32,0,0.0,1.0,0.0,0.0,1.0,2.3346921777803034,31.11111111111111,21.11111111111111,55,14,29.73
83,29,0,0.0,0.0,1.0,0.0,1.0,4.180159479425937,26.11111111111111,17.77777777777778,61,6,29.85
71,31,0,0.0,1.0,0.0,0.0,1.0,5.154843335588184,31.11111111111111,17.77777777777778,46,8,29.79
62,28,0,0.0,0.0,1.0,0.0,1.0,2.7383525187545907,25.0,17.77777777777778,65,5,29.82
99,29,0,0.0,0.0,1.0,0.0,1.0,4.822717537516588,27.77777777777778,21.11111111111111,66,8,29.85
99,27,0,0.0,0.0,1.0,0.0,1.0,4.836197764161843,27.77777777777778,21.11111111111111,66,10,29.91
51,32,0,0.0,1.0,0.0,0.0,1.0,3.962929734109978,30.0,17.22222222222222,45,10,29.73
74,33,0,0.0,0.0,1.0,0.0,1.0,2.557241578883984,27.22222222222222,20.0,65,6,29.82
99,30,0,0.0,0.0,1.0,0.0,1.0,3.608761994851411,27.77777777777778,21.11111111111111,66,8,29.85
60,37,0,1.0,0.0,0.0,1.0,0.0,3.1953395680493086,32.22222222222222,17.22222222222222,40,3,29.82
72,32,0,0.0,1.0,0.0,0.0,1.0,4.89125107417914,31.11111111111111,20.0,52,12,29.73
99,30,0,0.0,0.0,1.0,0.0,1.0,3.8472851596376447,27.77777777777778,21.11111111111111,66,8,29.82
79,39,0,1.0,0.0,0.0,1.0,0.0,4.850081158582667,32.77777777777778,18.88888888888889,43,6,29.79
90,30,0,0.0,1.0,0.0,0.0,1.0,4.549679519496711,31.11111111111111,20.0,52,10,29.76
63,32,0,0.0,1.0,0.0,0.0,1.0,3.1255972537031638,31.11111111111111,17.77777777777778,46,8,29.79
73,39,0,1.0,0.0,0.0,1.0,0.0,2.4282391674622064,33.888888888888886,18.88888888888889,41,6,29.79
81,29,0,0.0,0.0,1.0,0.0,1.0,4.17901199032352,26.11111111111111,17.77777777777778,61,6,29.85
93,31,0,0.0,1.0,0.0,0.0,1.0,2.7339555825429964,31.11111111111111,20.0,52,9,29.73
99,30,0,0.0,0.0,1.0,0.0,1.0,5.063087469232562,27.77777777777778,21.11111111111111,66,8,29.85
99,28,0,0.0,0.0,1.0,0.0,1.0,5.115935345994402,27.77777777777778,21.11111111111111,66,10,29.91
85,29,0,0.0,0.0,1.0,0.0,1.0,4.652796936612021,27.77777777777778,21.11111111111111,66,2,29.85
99,31,0,0.0,0.0,1.0,0.0,1.0,4.792962921396364,27.77777777777778,21.11111111111111,66,8,29.85
96,31,0,0.0,1.0,0.0,0.0,1.0,3.732812822081096,31.11111111111111,20.0,52,10,29.76
72,39,1,1.0,0.0,0.0,1.0,0.0,2.9196063081967023,32.77777777777778,18.88888888888889,43,6,29.79
99,29,0,0.0,0.0,1.0,0.0,1.0,4.740876743372625,27.77777777777778,21.11111111111111,66,10,29.91
76,39,1,1.0,0.0,0.0,1.0,0.0,5.191638534420394,33.888888888888886,17.77777777777778,38,7,29.88
89,32,0,0.0,0.0,1.0,0.0,1.0,4.609400433381811,27.77777777777778,21.11111111111111,66,8,29.82
91,30,0,0.0,0.0,1.0,0.0,1.0,5.226928345109976,27.77777777777778,21.11111111111111,66,8,29.82
69,32,0,0.0,1.0,0.0,0.0,1.0,2.504657219382205,31.11111111111111,17.77777777777778,46,15,29.73
77,31,0,0.0,1.0,0.0,0.0,1.0,4.340987452665009,31.11111111111111,21.11111111111111,55,9,29.73
60,41,0,1.0,0.0,0.0,1.0,0.0,2.836202045799176,35.0,16.11111111111111,32,3,29.76
89,32,0,0.0,1.0,0.0,0.0,1.0,5.216858650294209,32.22222222222222,20.0,49,9,29.7
35,40,1,1.0,0.0,0.0,1.0,0.0,2.510349845115724,32.77777777777778,17.77777777777778,41,8,29.82
95,31,0,0.0,1.0,0.0,0.0,1.0,3.818107911832618,30.0,20.0,55,12,29.73
72,32,0,0.0,1.0,0.0,0.0,1.0,4.299655673524041,31.11111111111111,17.77777777777778,46,8,29.79
85,30,0,0.0,0.0,1.0,0.0,1.0,3.616134627236733,27.77777777777778,21.11111111111111,66,2,29.85
99,29,0,0.0,0.0,1.0,0.0,1.0,5.213408877201483,27.77777777777778,21.11111111111111,66,8,29.85
72,31,0,0.0,1.0,0.0,0.0,1.0,3.729153914079056,31.11111111111111,20.0,52,12,29.73
56,41,1,1.0,0.0,0.0,1.0,0.0,5.130805224804874,32.77777777777778,17.22222222222222,38,6,29.79
66,32,0,0.0,1.0,0.0,0.0,1.0,2.906520485043376,32.22222222222222,20.0,49,12,29.7
56,41,0,1.0,0.0,0.0,1.0,0.0,2.437660470899804,32.77777777777778,17.22222222222222,38,6,29.79
73,31,0,0.0,1.0,0.0,0.0,1.0,4.820070018891773,31.11111111111111,17.77777777777778,46,8,29.79
93,30,0,0.0,0.0,1.0,0.0,1.0,2.5581538958017447,26.11111111111111,21.11111111111111,74,5,29.82
96,32,0,0.0,0.0,1.0,0.0,1.0,2.2715389125895467,28.88888888888889,20.0,58,10,29.85
44,32,0,0.0,1.0,0.0,0.0,1.0,2.636286232368991,31.11111111111111,17.22222222222222,43,13,29.73
70,32,0,0.0,1.0,0.0,0.0,1.0,5.007748508980993,31.11111111111111,20.0,52,12,29.73
79,29,0,0.0,0.0,1.0,0.0,1.0,2.4083499296095288,27.77777777777778,21.11111111111111,66,3,29.85
71,30,0,0.0,1.0,0.0,0.0,1.0,3.896060978829439,30.0,17.77777777777778,48,10,29.79
64,33,0,0.0,1.0,0.0,0.0,1.0,2.3867920661869686,32.22222222222222,17.77777777777778,43,9,29.79
99,29,0,0.0,0.0,1.0,0.0,1.0,4.796345888139005,27.77777777777778,21.11111111111111,66,10,29.91
69,32,0,0.0,0.0,1.0,0.0,1.0,3.8767010062192213,28.88888888888889,20.0,58,2,29.88
71,31,0,0.0,1.0,0.0,0.0,1.0,4.374177855076006,31.11111111111111,17.77777777777778,46,8,29.79
72,31,0,0.0,1.0,0.0,0.0,1.0,3.404097412416136,30.0,17.77777777777778,48,10,29.79
71,31,0,0.0,1.0,0.0,0.0,1.0,3.7104354454140887,31.11111111111111,17.77777777777778,46,8,29.79
66,31,0,0.0,0.0,1.0,0.0,1.0,2.5571853874673085,27.22222222222222,20.0,65,6,29.82
99,29,0,0.0,0.0,1.0,0.0,1.0,4.733098806524545,27.22222222222222,21.11111111111111,70,9,29.88
83,32,0,0.0,1.0,0.0,0.0,1.0,4.8194373689611885,32.22222222222222,20.0,49,9,29.7
92,33,0,0.0,1.0,0.0,0.0,1.0,2.5772507065986305,31.11111111111111,18.88888888888889,49,10,29.73
91,32,0,0.0,1.0,0.0,0.0,1.0,3.6413733741282988,31.11111111111111,20.0,52,13,29.73
92,31,0,0.0,1.0,0.0,0.0,1.0,3.2317905034807253,31.11111111111111,20.0,52,9,29.73
69,29,0,0.0,0.0,1.0,0.0,1.0,2.9295749824062907,27.22222222222222,17.77777777777778,58,3,29.85
81,27,0,0.0,0.0,1.0,0.0,1.0,3.2462978215177234,26.11111111111111,17.77777777777778,61,6,29.85
55,41,1,1.0,0.0,0.0,1.0,0.0,4.878385496089728,32.77777777777778,17.22222222222222,38,6,29.79
77,39,1,1.0,0.0,0.0,1.0,0.0,4.825076343309335,32.77777777777778,18.88888888888889,43,6,29.79
99,31,0,0.0,0.0,1.0,0.0,1.0,5.232753735873224,27.77777777777778,21.11111111111111,66,8,29.85
48,31,0,0.0,1.0,0.0,0.0,1.0,4.290158290642348,30.0,17.22222222222222,45,10,29.73
71,31,0,0.0,1.0,0.0,0.0,1.0,4.061298460028843,31.11111111111111,20.0,52,12,29.73
89,32,0,0.0,1.0,0.0,0.0,1.0,4.377803716261286,32.22222222222222,20.0,49,9,29.7
85,29,0,0.0,0.0,1.0,0.0,1.0,3.6504769261823578,27.77777777777778,21.11111111111111,66,2,29.85
72,32,0,0.0,1.0,0.0,0.0,1.0,4.277310717599625,31.11111111111111,20.0,52,12,29.73
94,30,0,0.0,1.0,0.0,0.0,1.0,5.23015164412992,31.11111111111111,20.0,52,10,29.76
86,31,0,0.0,0.0,1.0,0.0,1.0,4.206059578630438,28.88888888888889,20.0,58,10,29.85
86,33,0,0.0,1.0,0.0,0.0,1.0,2.199364556868572,31.11111111111111,20.0,52,9,29.73
80,34,0,0.0,0.0,1.0,0.0,1.0,3.2424994213090597,28.88888888888889,20.0,58,2,29.88
69,41,1,1.0,0.0,0.0,1.0,0.0,3.365644160925652,32.77777777777778,18.88888888888889,43,6,29.79
79,35,0,1.0,0.0,0.0,1.0,0.0,2.2685947889588136,33.888888888888886,17.77777777777778,38,7,29.88
73,31,0,0.0,0.0,1.0,0.0,1.0,4.82845476145107,28.88888888888889,20.0,58,2,29.88
90,31,0,0.0,1.0,0.0,0.0,1.0,2.189695291065933,30.0,20.0,55,9,29.73
73,32,0,0.0,1.0,0.0,0.0,1.0,3.516094201796795,31.11111111111111,20.0,52,12,29.73
86,29,0,0.0,0.0,1.0,0.0,1.0,4.787988821663597,27.77777777777778,21.11111111111111,66,2,29.85
99,30,0,0.0,0.0,1.0,0.0,1.0,2.6099611788363903,27.77777777777778,21.11111111111111,66,8,29.82
79,30,0,0.0,0.0,1.0,0.0,1.0,3.6406295068503782,27.77777777777778,21.11111111111111,66,3,29.85
87,31,0,0.0,1.0,0.0,0.0,1.0,2.4157862389572595,31.11111111111111,20.0,52,9,29.73
75,31,0,0.0,1.0,0.0,0.0,1.0,2.5687168545124868,31.11111111111111,20.0,52,12,29.73
79,30,0,0.0,0.0,1.0,0.0,1.0,3.298639340138158,27.77777777777778,21.11111111111111,66,3,29.85
56,45,0,1.0,0.0,0.0,1.0,0.0,3.331550293045157,32.77777777777778,17.77777777777778,41,5,29.76
71,31,0,0.0,1.0,0.0,0.0,1.0,2.261012718310292,30.0,17.77777777777778,48,10,29.79
53,31,0,0.0,1.0,0.0,0.0,1.0,2.2524383588986785,30.0,17.22222222222222,45,10,29.73
55,45,0,1.0,0.0,0.0,1.0,0.0,2.2110343309361142,35.0,16.11111111111111,32,3,29.76
80,29,0,0.0,0.0,1.0,0.0,1.0,3.141209427398602,27.22222222222222,21.11111111111111,70,9,29.88
48,32,0,0.0,1.0,0.0,0.0,1.0,4.4372212846458,31.11111111111111,17.22222222222222,43,13,29.73
89,31,0,0.0,1.0,0.0,0.0,1.0,5.116332010813005,32.22222222222222,20.0,49,9,29.7
72,35,0,1.0,0.0,0.0,1.0,0.0,2.6246833040603663,32.22222222222222,18.88888888888889,46,8,29.91
54,41,0,1.0,0.0,0.0,1.0,0.0,2.2811925459516003,35.0,16.11111111111111,32,3,29.76
76,39,1,0.0,0.0,1.0,1.0,0.0,2.3809121777311213,32.77777777777778,18.88888888888889,43,7,29.82
50,43,0,1.0,0.0,0.0,1.0,0.0,3.5079525309060635,32.77777777777778,17.77777777777778,41,5,29.76
72,30,0,0.0,1.0,0.0,0.0,1.0,4.795951750741227,31.11111111111111,17.77777777777778,46,8,29.79
57,45,1,1.0,0.0,0.0,1.0,0.0,3.3936080242490236,32.77777777777778,17.77777777777778,41,5,29.76
87,31,0,0.0,0.0,1.0,0.0,1.0,2.4863173022810665,28.88888888888889,20.0,58,2,29.88
74,30,0,0.0,1.0,0.0,0.0,1.0,3.9738008926960133,28.88888888888889,17.77777777777778,51,8,29.79
70,29,0,0.0,0.0,1.0,0.0,1.0,3.869209310155063,27.22222222222222,17.77777777777778,58,3,29.85
61,39,0,1.0,0.0,0.0,1.0,0.0,2.624009620114764,33.888888888888886,17.77777777777778,38,8,29.79
79,30,0,0.0,0.0,1.0,0.0,1.0,2.2460127651390773,27.22222222222222,21.11111111111111,70,3,29.85
71,30,0,0.0,1.0,0.0,0.0,1.0,5.175775890205225,31.11111111111111,17.77777777777778,46,8,29.79
79,38,0,1.0,0.0,0.0,1.0,0.0,3.4399602753804785,33.888888888888886,17.77777777777778,38,7,29.88
72,36,0,1.0,0.0,0.0,1.0,0.0,3.4408596237454017,32.77777777777778,18.88888888888889,43,3,29.82
50,31,0,0.0,1.0,0.0,0.0,1.0,3.6057054522110055,30.0,17.22222222222222,45,10,29.73
99,31,0,0.0,0.0,1.0,0.0,1.0,2.6864207541594785,28.88888888888889,21.11111111111111,62,10,29.88
64,35,0,1.0,0.0,0.0,1.0,0.0,4.783730615865738,32.77777777777778,17.77777777777778,41,8,29.82
73,31,0,0.0,1.0,0.0,0.0,1.0,4.81948903355107,31.11111111111111,17.77777777777778,46,8,29.79
91,31,0,0.0,0.0,1.0,0.0,1.0,2.559053271251392,26.11111111111111,21.11111111111111,74,5,29.82
89,33,0,0.0,0.0,1.0,0.0,1.0,2.4965179465187366,28.88888888888889,20.0,58,10,29.85
61,39,0,1.0,0.0,0.0,1.0,0.0,2.3845784508917367,32.77777777777778,17.77777777777778,41,5,29.76
82,40,0,1.0,0.0,0.0,1.0,0.0,4.683013655943783,32.77777777777778,18.88888888888889,43,6,29.79
76,31,0,0.0,1.0,0.0,0.0,1.0,2.221091575586169,30.0,20.0,55,9,29.73
64,33,0,0.0,1.0,0.0,0.0,1.0,3.4012225823071547,31.11111111111111,17.77777777777778,46,8,29.79
64,33,0,0.0,1.0,0.0,0.0,1.0,3.3543269745026176,31.11111111111111,17.77777777777778,46,8,29.79
