o3_8,o3,pm10,pm25,co,so2,so2_24,no2,aqi,aqi_rank
0,0,38,84,4,19,0,9,160.45255474452551,3
0,0,62,128,5,18,0,9,182.93430656934302,3
0,0,56,116,3,17,0,10,176.80291970802918,3
0,0,62,132,5,33,0,8,184.97810218978103,3
0,0,62,120,7,19,0,10,178.84671532846713,3
0,0,92,176,5,35,0,7,213.5075075075075,4
0,0,34,68,5,20,0,8,152.27737226277372,3
0,0,32,52,5,17,0,9,130.8148148148148,2
0,0,94,176,3,16,0,8,213.5075075075075,4
0,0,66,136,5,23,0,8,187.02189781021897,3
0,0,34,76,6,23,0,9,156.36496350364962,3
0,0,78,148,4,22,0,8,193.15328467153287,3
0,0,74,144,2,17,0,8,191.1094890510949,3
0,0,38,84,4,26,0,8,160.45255474452551,3
0,0,54,108,4,17,0,8,172.71532846715328,3
0,0,46,100,5,21,0,9,168.62773722627736,3
0,0,66,128,11,21,0,10,182.93430656934302,3
0,0,70,144,3,17,0,8,191.1094890510949,3
0,0,62,132,5,31,0,8,184.97810218978103,3
0,0,40,88,2,15,0,9,162.4963503649635,3
0,0,32,64,6,26,0,8,150.23357664233578,3
0,0,32,60,11,22,0,10,148.1897810218978,2
0,0,56,120,4,17,0,8,178.84671532846713,3
0,0,34,68,6,21,0,8,152.27737226277372,3
0,0,38,84,4,20,0,9,160.45255474452551,3
0,0,64,128,4,19,0,8,182.93430656934302,3
0,0,30,48,5,19,0,8,120.44444444444444,2
0,0,56,112,8,16,0,10,174.75912408759126,3
0,0,50,108,3,23,0,8,172.71532846715328,3
0,0,46,100,3,21,0,8,168.62773722627736,3
0,0,70,136,4,24,0,8,187.02189781021897,3
0,0,58,120,3,21,0,9,178.84671532846713,3
0,0,76,144,3,15,0,8,191.1094890510949,3
0,0,48,104,2,13,0,8,170.67153284671534,3
0,0,78,144,9,23,0,9,191.1094890510949,3
0,0,40,80,5,20,0,9,158.4087591240876,3
0,0,64,124,9,27,0,10,180.8905109489051,3
0,0,52,112,4,18,0,8,174.75912408759126,3
0,0,34,60,5,19,0,8,148.1897810218978,2
0,0,74,152,2,13,0,8,201.73573573573572,4
0,0,80,148,3,17,0,8,193.15328467153287,3
0,0,76,148,4,30,0,7,193.15328467153287,3
0,0,82,156,3,15,0,9,203.6976976976977,4
0,0,62,120,8,23,0,10,178.84671532846713,3
0,0,40,84,5,19,0,7,160.45255474452551,3
0,0,46,104,3,19,0,8,170.67153284671534,3
0,0,124,232,3,21,0,7,240.97497497497497,4
0,0,66,128,3,25,0,8,182.93430656934302,3
0,0,64,132,5,21,0,9,184.97810218978103,3
0,0,64,124,8,20,0,10,180.8905109489051,3
0,0,66,124,12,32,0,9,180.8905109489051,3
0,0,32,52,5,22,0,8,130.8148148148148,2
0,0,64,128,6,22,0,8,182.93430656934302,3
0,0,62,120,8,21,0,10,178.84671532846713,3
0,0,60,120,7,18,0,10,178.84671532846713,3
0,0,70,140,7,19,0,10,189.0656934306569,3
0,0,70,136,4,16,0,8,187.02189781021897,3
0,0,30,44,5,20,0,8,110.07407407407408,2
0,0,56,120,2,17,0,8,178.84671532846713,3
0,0,46,100,7,23,0,8,168.62773722627736,3
0,0,42,80,5,23,0,8,158.4087591240876,3
0,0,40,88,3,17,0,9,162.4963503649635,3
0,0,94,184,4,26,0,9,217.43143143143143,4
0,0,60,128,4,26,0,8,182.93430656934302,3
0,0,82,156,4,20,0,8,203.6976976976977,4
0,0,58,116,4,14,0,8,176.80291970802918,3
0,0,34,60,5,17,0,8,148.1897810218978,2
0,0,94,172,4,27,0,8,211.54554554554556,4
0,0,76,152,2,14,0,8,201.73573573573572,4
0,0,44,96,2,15,0,8,166.5839416058394,3
0,0,52,112,5,23,0,8,174.75912408759126,3
0,0,76,152,2,14,0,8,201.73573573573572,4
0,0,38,84,4,21,0,9,160.45255474452551,3
0,0,52,112,3,22,0,8,174.75912408759126,3
0,0,54,116,5,33,0,10,176.80291970802918,3
0,0,50,100,7,27,0,8,168.62773722627736,3
