greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,69.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0,4.832087982081858,1,2,1,60.84256775113133
2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,89.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,3.411754398293985,5,2,1,59.95624931693688
2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,88.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,4.8139970286596325,14,12,1,61.40007584152455
1.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,91.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,4.839458770895119,4,6,3,84.26388282816629
2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,73.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,3.96310116964366,4,5,3,70.86291462404247
1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,83.0,41.0,0.0,1.0,0.0,0.0,1.0,0.0,4.876151993380595,6,5,1,71.48030750398193
1.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,80.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,4.7285630203567335,5,8,2,61.68383611189682
2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,93.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,4.8139970286596325,8,3,0,66.77860168252013
2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,93.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,5.184178315659661,13,6,1,86.63101085148298
1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,67.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,5.225498068981291,14,13,1,49.294784965124514
3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,82.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,2.6238310895191885,14,11,3,67.38964419050109
1.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,59.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,3.202561632503542,5,2,0,71.5708005138687
2.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,97.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8132697916396303,2,2,2,76.8837775232099
3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,99.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,2.2305799351709905,9,9,1,69.35248483445207
2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,77.0,39.0,0.0,1.0,0.0,0.0,1.0,0.0,4.152886072072368,6,7,2,58.09191121770094
2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,77.0,39.0,0.0,1.0,0.0,0.0,1.0,0.0,2.398515618907028,5,5,3,66.30844007697021
4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,84.0,33.0,0.0,0.0,1.0,0.0,0.0,1.0,2.396681937392536,2,2,5,69.53068730449489
2.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,54.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,2.240871711588565,10,7,3,77.23243727208607
2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,52.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3965662184675907,5,3,1,53.181001470073525
2.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,76.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,2.7812551314265765,6,6,3,84.55436946391382
1.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,71.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,4.802869606416861,8,8,0,80.65201924554042
5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,93.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,2.3962253816710355,8,6,0,77.65994934795228
1.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,92.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,3.969815416337179,7,6,1,77.8875613306097
1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,67.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,5.225498068981291,9,4,0,71.72446287325661
2.0,2.0,5.0,5.0,3.0,3.0,3.0,4.0,71.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,3.957380709538033,8,12,0,74.89606366848638
3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,99.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,2.2305799351709905,12,7,1,73.67858974746541
4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,70.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,4.168401565096117,12,3,0,63.41698417644902
2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,99.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,2.2305799351709905,12,7,0,78.37586545166813
2.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,70.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,2.232651959514643,5,2,6,55.04361702426923
2.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,99.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,2.2305799351709905,13,4,0,86.51484118127128
2.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,63.0,33.0,0.0,0.0,1.0,0.0,0.0,1.0,2.2325097531474354,8,9,2,71.84411678283129
2.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,89.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,2.599931392339044,9,6,3,74.58439785637607
2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,91.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,1.8260832463959416,10,11,1,79.73409448378331
4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,99.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,4.167300647663692,9,8,0,73.60795459769047
3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,82.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,3.400195833711558,4,5,3,63.393064196148615
3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,77.0,39.0,0.0,1.0,0.0,0.0,1.0,0.0,4.152886072072368,1,0,1,66.05873018291946
