hum,tem,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
22.94,19.66,1.0,0.0,0.0,1.0,0.0,1.8768795497763233
15.87,25.52,1.0,0.0,0.0,1.0,0.0,4.3601895713935805
29.17,28.87,1.0,0.0,0.0,1.0,0.0,4.126028889386056
21.93,20.22,1.0,0.0,0.0,1.0,0.0,8.4414976526721
26.52,28.17,1.0,0.0,0.0,1.0,0.0,8.392281631734607
29.83,23.95,1.0,0.0,0.0,1.0,0.0,0.9452392495775834
21.72,21.0,1.0,0.0,0.0,1.0,0.0,4.419653634920296
30.66,16.91,1.0,0.0,0.0,1.0,0.0,8.819744461710963
21.11,28.71,1.0,0.0,0.0,1.0,0.0,6.638849316392772
23.84,30.83,1.0,0.0,0.0,1.0,0.0,4.2503792254924795
32.39,23.68,1.0,0.0,0.0,1.0,0.0,8.747042513028013
28.35,18.62,0.0,0.0,1.0,1.0,0.0,4.424562608976522
24.23,26.91,1.0,0.0,0.0,1.0,0.0,1.7024466169035557
30.46,17.06,1.0,0.0,0.0,1.0,0.0,8.854667197832212
25.78,26.97,1.0,0.0,0.0,1.0,0.0,4.146857957888067
27.94,25.7,1.0,0.0,0.0,1.0,0.0,0.9098439017194577
20.3,23.67,1.0,0.0,0.0,1.0,0.0,1.7032895232007952
24.16,29.06,1.0,0.0,0.0,1.0,0.0,8.606394701409261
30.14,24.74,1.0,0.0,0.0,1.0,0.0,1.3665530686471425
17.24,28.6,1.0,0.0,0.0,1.0,0.0,4.21544679472287
7.86,33.42,1.0,0.0,0.0,1.0,0.0,7.84500927173194
29.35,24.38,1.0,0.0,0.0,1.0,0.0,8.812030026855158
23.26,18.94,1.0,0.0,0.0,1.0,0.0,1.0063801564641652
19.88,30.53,1.0,0.0,0.0,1.0,0.0,6.741424166223411
27.45,18.65,1.0,0.0,0.0,1.0,0.0,8.349633156677541
36.48,19.9,1.0,0.0,0.0,1.0,0.0,8.573502500174781
18.79,21.92,1.0,0.0,0.0,1.0,0.0,1.3355496454425206
25.16,31.54,1.0,0.0,0.0,1.0,0.0,2.430550656114611
24.91,17.93,1.0,0.0,0.0,1.0,0.0,6.535445159577806
24.31,29.87,1.0,0.0,0.0,1.0,0.0,4.1035545362832915
21.89,36.14,1.0,0.0,0.0,1.0,0.0,4.330970917613383
27.02,18.19,1.0,0.0,0.0,1.0,0.0,8.807006329030134
23.52,20.59,1.0,0.0,0.0,1.0,0.0,8.773160217553894
24.52,20.37,1.0,0.0,0.0,1.0,0.0,6.813316225531591
13.73,27.0,1.0,0.0,0.0,1.0,0.0,2.285135626296605
23.92,27.51,1.0,0.0,0.0,1.0,0.0,0.9686160804707525
22.99,27.42,1.0,0.0,0.0,1.0,0.0,1.7024466169035557
29.29,17.35,1.0,0.0,0.0,1.0,0.0,7.744301300807352
22.6,34.21,1.0,0.0,0.0,1.0,0.0,6.476899155696066
20.98,29.92,1.0,0.0,0.0,1.0,0.0,6.7585972841217306
24.88,28.62,1.0,0.0,0.0,1.0,0.0,2.5553587044378094
24.57,30.93,1.0,0.0,0.0,1.0,0.0,4.208162000012429
29.62,27.37,1.0,0.0,0.0,1.0,0.0,4.28771536809394
23.8,31.12,1.0,0.0,0.0,1.0,0.0,4.514545400048423
26.69,20.05,1.0,0.0,0.0,1.0,0.0,6.524204234355284
22.27,29.25,1.0,0.0,0.0,1.0,0.0,4.349267928001211
30.49,28.89,1.0,0.0,0.0,1.0,0.0,8.275895093377251
38.53,18.32,1.0,0.0,0.0,1.0,0.0,8.687713953684938
26.29,27.81,1.0,0.0,0.0,1.0,0.0,8.446435905675605
25.52,26.41,1.0,0.0,0.0,1.0,0.0,4.3302264089689775
14.67,28.45,1.0,0.0,0.0,1.0,0.0,4.195405755468577
32.63,23.63,1.0,0.0,0.0,1.0,0.0,8.497519377763648
19.52,21.44,1.0,0.0,0.0,1.0,0.0,4.028240129354837
28.08,30.7,1.0,0.0,0.0,1.0,0.0,6.442025943389796
32.75,23.62,1.0,0.0,0.0,1.0,0.0,8.84192577310168
28.28,25.84,1.0,0.0,0.0,1.0,0.0,1.3665530686471425
23.54,30.57,1.0,0.0,0.0,1.0,0.0,2.435854696609512
32.24,14.84,1.0,0.0,0.0,1.0,0.0,8.5425055560628
12.68,28.84,1.0,0.0,0.0,1.0,0.0,6.792525084084715
23.16,31.17,1.0,0.0,0.0,1.0,0.0,4.514545400048423
12.64,28.68,1.0,0.0,0.0,1.0,0.0,2.496305214795649
22.2,20.11,1.0,0.0,0.0,1.0,0.0,4.3802507811269065
16.37,27.31,0.0,1.0,0.0,0.0,1.0,2.4888358965156985
16.23,24.37,1.0,0.0,0.0,1.0,0.0,1.4378529627062016
30.39,17.95,1.0,0.0,0.0,1.0,0.0,9.2903773148696
26.14,26.37,1.0,0.0,0.0,1.0,0.0,4.253750669935788
23.15,21.28,1.0,0.0,0.0,1.0,0.0,1.439205129734865
25.79,30.32,1.0,0.0,0.0,1.0,0.0,3.5220500832160373
24.65,31.01,1.0,0.0,0.0,1.0,0.0,4.152899481889902
15.71,26.17,1.0,0.0,0.0,1.0,0.0,6.759296158865982
32.02,17.08,1.0,0.0,0.0,1.0,0.0,6.7740575364455085
13.76,27.22,0.0,1.0,0.0,0.0,1.0,2.510234203335268
18.75,30.05,1.0,0.0,0.0,1.0,0.0,9.135347845759977
14.24,28.98,1.0,0.0,0.0,1.0,0.0,9.42014741732613
18.51,21.85,1.0,0.0,0.0,1.0,0.0,0.8071496895002548
21.44,30.25,1.0,0.0,0.0,1.0,0.0,8.618069350186483
21.38,33.4,1.0,0.0,0.0,1.0,0.0,4.602252130440355
22.54,21.66,1.0,0.0,0.0,1.0,0.0,4.185613890103056
23.11,20.37,1.0,0.0,0.0,1.0,0.0,4.09263942913624
22.43,28.59,1.0,0.0,0.0,1.0,0.0,2.5183252148845274
26.59,19.42,1.0,0.0,0.0,1.0,0.0,8.811016957030366
17.59,27.52,1.0,0.0,0.0,1.0,0.0,6.424123449597981
20.94,21.27,1.0,0.0,0.0,1.0,0.0,0.8753847061015999
15.8,26.98,1.0,0.0,0.0,1.0,0.0,6.780798168901376
15.92,30.88,1.0,0.0,0.0,1.0,0.0,2.4943778404477213
24.88,18.97,1.0,0.0,0.0,1.0,0.0,8.770619734204418
16.12,28.79,1.0,0.0,0.0,1.0,0.0,2.4879451737937197
16.99,25.1,1.0,0.0,0.0,1.0,0.0,2.4794748556207744
20.09,30.26,1.0,0.0,0.0,1.0,0.0,6.6042087257585935
7.82,34.11,1.0,0.0,0.0,1.0,0.0,0.6074205584906643
29.3,26.63,1.0,0.0,0.0,1.0,0.0,4.097072464530123
20.34,21.37,1.0,0.0,0.0,1.0,0.0,1.550145845087242
16.86,32.43,1.0,0.0,0.0,1.0,0.0,0.582023120368084
15.99,29.96,0.0,1.0,0.0,0.0,1.0,2.499476256395554
24.77,29.13,1.0,0.0,0.0,1.0,0.0,6.784792097769473
36.56,28.81,1.0,0.0,0.0,1.0,0.0,4.481468911887136
27.39,18.75,1.0,0.0,0.0,1.0,0.0,8.835173770801568
18.29,23.52,1.0,0.0,0.0,1.0,0.0,1.7032895232007952
28.86,25.34,1.0,0.0,0.0,1.0,0.0,8.493019946152236
33.85,16.46,1.0,0.0,0.0,1.0,0.0,8.21781424403836
19.8,23.9,1.0,0.0,0.0,1.0,0.0,9.080139858536517
29.96,26.46,1.0,0.0,0.0,1.0,0.0,8.20766328450925
16.92,31.99,1.0,0.0,0.0,1.0,0.0,7.754264236131411
39.54,20.77,1.0,0.0,0.0,1.0,0.0,8.298321964241854
18.31,23.23,1.0,0.0,0.0,1.0,0.0,1.3665530686471425
23.53,31.86,1.0,0.0,0.0,1.0,0.0,4.194957054474408
16.22,27.9,1.0,0.0,0.0,1.0,0.0,4.294893415821285
24.98,28.33,1.0,0.0,0.0,1.0,0.0,8.461974827073293
24.86,30.22,1.0,0.0,0.0,1.0,0.0,8.982055624481449
21.0,29.1,1.0,0.0,0.0,1.0,0.0,6.554604934523103
24.07,26.98,1.0,0.0,0.0,1.0,0.0,4.25082000036551
24.47,18.69,1.0,0.0,0.0,1.0,0.0,1.7032895232007952
22.59,28.82,1.0,0.0,0.0,1.0,0.0,4.356580091435377
22.93,32.15,0.0,1.0,0.0,0.0,1.0,2.4592442103968892
27.48,21.13,0.0,1.0,0.0,0.0,1.0,1.5039787102126285
16.79,25.19,1.0,0.0,0.0,1.0,0.0,6.845112011440084
25.5,29.17,1.0,0.0,0.0,1.0,0.0,2.437922808368058
15.06,29.89,1.0,0.0,0.0,1.0,0.0,4.378973286274163
18.24,32.74,1.0,0.0,0.0,1.0,0.0,4.28771536809394
29.51,17.34,1.0,0.0,0.0,1.0,0.0,8.761211665169904
29.75,28.8,1.0,0.0,0.0,1.0,0.0,2.5664995232808505
22.61,27.13,1.0,0.0,0.0,1.0,0.0,4.299311014378476
18.32,22.96,1.0,0.0,0.0,1.0,0.0,4.608548644881527
26.45,27.48,1.0,0.0,0.0,1.0,0.0,9.064881567133256
23.66,28.61,1.0,0.0,0.0,1.0,0.0,4.292412481899597
26.99,32.8,1.0,0.0,0.0,1.0,0.0,6.52131940483833
28.73,25.31,1.0,0.0,0.0,1.0,0.0,6.518547768531679
26.0,26.84,1.0,0.0,0.0,1.0,0.0,8.334077412673139
24.84,19.68,1.0,0.0,0.0,1.0,0.0,7.712200607302677
26.67,19.69,1.0,0.0,0.0,1.0,0.0,4.436807368965623
16.44,25.28,1.0,0.0,0.0,1.0,0.0,4.182607567715355
26.32,18.08,1.0,0.0,0.0,1.0,0.0,8.74902021991563
31.47,24.84,1.0,0.0,0.0,1.0,0.0,6.522951354357836
23.2,27.7,1.0,0.0,0.0,1.0,0.0,4.6575827374200545
