hum,tem,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
20.23,32.28,1.0,0.0,0.0,1.0,0.0,6.589332302807075
17.34,34.46,1.0,0.0,0.0,1.0,0.0,8.228269171048959
25.3,29.12,1.0,0.0,0.0,1.0,0.0,2.437922808368058
34.4,23.26,1.0,0.0,0.0,1.0,0.0,6.57371327031268
19.1,22.82,1.0,0.0,0.0,1.0,0.0,1.2482077361994188
34.1,25.65,0.0,0.0,1.0,1.0,0.0,4.28771536809394
17.34,23.76,1.0,0.0,0.0,1.0,0.0,6.560644566537243
22.79,28.15,1.0,0.0,0.0,1.0,0.0,4.6122378229053025
20.48,21.68,1.0,0.0,0.0,1.0,0.0,8.80521319766263
29.08,18.95,0.0,0.0,1.0,1.0,0.0,5.259799874972911
29.93,25.81,1.0,0.0,0.0,1.0,0.0,6.493500492739649
27.5,32.41,1.0,0.0,0.0,1.0,0.0,6.284473187730587
24.07,33.79,1.0,0.0,0.0,1.0,0.0,2.243309692928613
31.85,26.09,1.0,0.0,0.0,1.0,0.0,4.28771536809394
13.03,32.01,0.0,1.0,0.0,0.0,1.0,2.4929196484083262
21.33,20.6,0.0,1.0,0.0,0.0,1.0,0.813677528719504
28.04,25.64,1.0,0.0,0.0,1.0,0.0,8.788002691248403
33.2,28.62,1.0,0.0,0.0,1.0,0.0,6.642986366416859
27.5,30.41,1.0,0.0,0.0,1.0,0.0,1.7543832844586047
20.56,31.87,0.0,1.0,0.0,0.0,1.0,2.4932348851368342
27.31,19.39,0.0,0.0,1.0,1.0,0.0,4.833146269879601
29.46,34.0,1.0,0.0,0.0,1.0,0.0,6.690683162370775
17.62,27.4,0.0,1.0,0.0,0.0,1.0,2.497185919674704
22.47,33.55,1.0,0.0,0.0,1.0,0.0,5.981228607005588
27.32,25.11,1.0,0.0,0.0,1.0,0.0,0.8968236261806539
23.0,20.11,1.0,0.0,0.0,1.0,0.0,4.333681960668753
11.37,28.76,1.0,0.0,0.0,1.0,0.0,0.7035237715617119
23.77,19.38,1.0,0.0,0.0,1.0,0.0,1.7032895232007952
23.76,21.6,1.0,0.0,0.0,1.0,0.0,7.178374723121721
23.43,20.87,1.0,0.0,0.0,1.0,0.0,8.396010393312713
31.54,28.87,1.0,0.0,0.0,1.0,0.0,6.675766763432172
24.53,27.61,1.0,0.0,0.0,1.0,0.0,5.18563540946091
18.91,24.55,1.0,0.0,0.0,1.0,0.0,6.783194398960574
12.27,28.72,0.0,1.0,0.0,0.0,1.0,2.5071964798176998
24.59,18.12,1.0,0.0,0.0,1.0,0.0,0.9348984758774548
15.26,28.29,0.0,1.0,0.0,0.0,1.0,2.4900064270719855
22.62,33.5,1.0,0.0,0.0,1.0,0.0,6.263138708197698
24.01,28.64,0.0,0.0,1.0,1.0,0.0,4.257792854000312
17.65,23.02,1.0,0.0,0.0,1.0,0.0,1.4441250434515547
16.03,26.9,1.0,0.0,0.0,1.0,0.0,2.474952095330321
17.74,25.73,1.0,0.0,0.0,1.0,0.0,9.391778753432044
26.17,26.44,1.0,0.0,0.0,1.0,0.0,1.8768795497763233
13.63,25.6,1.0,0.0,0.0,1.0,0.0,6.384869395847768
31.23,27.28,0.0,0.0,1.0,1.0,0.0,4.28771536809394
24.69,25.95,1.0,0.0,0.0,1.0,0.0,8.824885817862505
21.25,21.07,1.0,0.0,0.0,1.0,0.0,7.941895263987531
14.54,34.94,1.0,0.0,0.0,1.0,0.0,4.2810115671857565
21.8,35.28,1.0,0.0,0.0,1.0,0.0,4.681648222623198
23.73,32.12,1.0,0.0,0.0,1.0,0.0,5.939178308969618
25.5,29.31,1.0,0.0,0.0,1.0,0.0,2.435854696609512
45.95,22.76,1.0,0.0,0.0,1.0,0.0,7.557187486159261
22.26,29.86,0.0,0.0,1.0,1.0,0.0,4.243056792187225
25.79,30.32,1.0,0.0,0.0,1.0,0.0,3.5220500832160373
23.08,29.06,1.0,0.0,0.0,1.0,0.0,2.489505244864854
20.87,27.93,0.0,1.0,0.0,0.0,1.0,2.5482831050995847
23.19,30.21,0.0,0.0,1.0,0.0,1.0,4.299311014378476
42.51,23.96,1.0,0.0,0.0,1.0,0.0,8.411138107542477
25.09,30.01,0.0,1.0,0.0,0.0,1.0,2.4609149189634456
25.35,27.18,0.0,0.0,1.0,0.0,1.0,4.299311014378476
22.08,22.25,1.0,0.0,0.0,1.0,0.0,8.41697542471074
41.56,24.33,1.0,0.0,0.0,1.0,0.0,4.28771536809394
20.98,29.85,1.0,0.0,0.0,1.0,0.0,7.963191159505539
46.95,23.0,1.0,0.0,0.0,1.0,0.0,8.506500609461089
23.15,19.21,1.0,0.0,0.0,1.0,0.0,0.904807262966746
24.38,31.47,1.0,0.0,0.0,1.0,0.0,6.264825095847579
33.97,25.82,0.0,0.0,1.0,1.0,0.0,4.28771536809394
22.86,20.24,1.0,0.0,0.0,1.0,0.0,0.9487531906959015
29.58,34.75,1.0,0.0,0.0,1.0,0.0,4.5101473991094805
28.52,30.28,1.0,0.0,0.0,1.0,0.0,5.7438203150454665
27.24,18.75,1.0,0.0,0.0,1.0,0.0,8.838587841461521
19.54,32.08,0.0,1.0,0.0,0.0,1.0,2.490854019745744
50.19,28.52,1.0,0.0,0.0,1.0,0.0,8.764566691571343
23.68,29.56,1.0,0.0,0.0,1.0,0.0,6.652768558780988
49.65,22.36,1.0,0.0,0.0,1.0,0.0,8.783246386515643
27.85,31.08,1.0,0.0,0.0,1.0,0.0,2.790509178494414
29.4,18.01,1.0,0.0,0.0,1.0,0.0,5.632159735064009
19.28,22.29,1.0,0.0,0.0,1.0,0.0,4.241768577363101
19.53,31.84,1.0,0.0,0.0,1.0,0.0,7.761672245447326
24.01,20.42,1.0,0.0,0.0,1.0,0.0,7.966068910908034
24.6,18.78,1.0,0.0,0.0,1.0,0.0,7.9121595247044105
36.54,24.52,0.0,0.0,1.0,1.0,0.0,4.28771536809394
18.48,28.86,1.0,0.0,0.0,1.0,0.0,4.297907194016371
21.65,30.55,0.0,0.0,1.0,1.0,0.0,4.382715534426058
17.22,31.19,0.0,1.0,0.0,0.0,1.0,4.299311014378476
22.11,30.84,1.0,0.0,0.0,1.0,0.0,6.584995129506606
28.89,16.49,1.0,0.0,0.0,1.0,0.0,8.654082009610038
26.57,20.14,0.0,0.0,1.0,1.0,0.0,4.42884126493818
26.32,30.77,1.0,0.0,0.0,1.0,0.0,6.864114400722073
22.39,24.23,1.0,0.0,0.0,1.0,0.0,5.641074844814598
19.6,30.66,0.0,1.0,0.0,0.0,1.0,2.440008351355948
20.51,24.36,0.0,0.0,1.0,1.0,0.0,4.382102589075289
12.99,30.54,1.0,0.0,0.0,1.0,0.0,2.497608378360415
27.21,25.39,1.0,0.0,0.0,1.0,0.0,4.500970409228758
31.31,31.72,1.0,0.0,0.0,1.0,0.0,7.900896974175427
27.67,25.57,1.0,0.0,0.0,1.0,0.0,8.465728379040836
24.8,27.15,1.0,0.0,0.0,1.0,0.0,4.365170358583868
11.32,29.82,1.0,0.0,0.0,1.0,0.0,1.2650897328331892
20.89,27.63,1.0,0.0,0.0,1.0,0.0,4.295036460069606
21.81,30.69,0.0,0.0,1.0,0.0,1.0,4.299311014378476
25.09,26.07,1.0,0.0,0.0,1.0,0.0,4.4343189960000995
17.71,24.86,1.0,0.0,0.0,1.0,0.0,8.649636669143959
37.62,26.79,1.0,0.0,0.0,1.0,0.0,8.12226238802898
17.93,32.73,1.0,0.0,0.0,1.0,0.0,8.298370949632405
23.75,30.84,1.0,0.0,0.0,1.0,0.0,4.28771536809394
16.51,33.68,1.0,0.0,0.0,1.0,0.0,4.28771536809394
17.64,25.89,1.0,0.0,0.0,1.0,0.0,9.417302252717663
27.88,26.32,0.0,0.0,1.0,0.0,1.0,4.2060436499403355
30.54,17.69,1.0,0.0,0.0,1.0,0.0,6.085062074627943
45.1,35.9,1.0,0.0,0.0,1.0,0.0,4.757975974423673
21.38,20.2,1.0,0.0,0.0,1.0,0.0,0.9316159808879092
14.78,30.72,1.0,0.0,0.0,1.0,0.0,2.4784882193517346
25.54,18.36,1.0,0.0,0.0,1.0,0.0,7.9632986224064215
31.25,28.8,1.0,0.0,0.0,1.0,0.0,6.555363639709995
27.87,26.61,1.0,0.0,0.0,1.0,0.0,6.560782930138728
31.16,24.67,1.0,0.0,0.0,1.0,0.0,8.848488620882819
20.8,30.7,0.0,0.0,1.0,1.0,0.0,4.484417566262059
27.84,28.62,1.0,0.0,0.0,1.0,0.0,7.3335508877010245
29.2,25.88,1.0,0.0,0.0,1.0,0.0,2.4479731063093513
34.19,32.67,1.0,0.0,0.0,1.0,0.0,2.233655819454449
27.78,34.88,1.0,0.0,0.0,1.0,0.0,7.854885970182322
27.69,19.48,0.0,0.0,1.0,1.0,0.0,4.983848908715276
25.48,30.43,1.0,0.0,0.0,1.0,0.0,6.675766763432172
20.21,34.92,1.0,0.0,0.0,1.0,0.0,4.252901127678123
14.13,28.03,1.0,0.0,0.0,1.0,0.0,4.389082655089779
29.54,26.27,1.0,0.0,0.0,1.0,0.0,4.170739035526663
25.37,20.6,0.0,0.0,1.0,1.0,0.0,4.371545988156471
20.57,29.13,1.0,0.0,0.0,1.0,0.0,6.682616830929725
21.06,21.92,1.0,0.0,0.0,1.0,0.0,6.780028148305586
