hum,tem,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
20.23,32.28,1.0,0.0,0.0,1.0,0.0,6.589332302807075,21.11111111111111,7.222222222222222,40,6,29.84
17.34,34.46,1.0,0.0,0.0,1.0,0.0,8.228269171048959,17.77777777777778,7.222222222222222,49,7,30.23
25.3,29.12,1.0,0.0,0.0,1.0,0.0,2.437922808368058,10.0,0.0,50,10,30.17
34.4,23.26,1.0,0.0,0.0,1.0,0.0,6.57371327031268,12.222222222222221,2.2222222222222223,51,13,30.02
19.1,22.82,1.0,0.0,0.0,1.0,0.0,1.2482077361994188,11.11111111111111,0.0,47,9,30.17
34.1,25.65,0.0,0.0,1.0,1.0,0.0,4.28771536809394,17.22222222222222,7.222222222222222,52,3,30.23
17.34,23.76,1.0,0.0,0.0,1.0,0.0,6.560644566537243,11.11111111111111,1.1111111111111112,50,8,30.14
22.79,28.15,1.0,0.0,0.0,1.0,0.0,4.6122378229053025,17.77777777777778,7.777777777777778,52,10,30.23
20.48,21.68,1.0,0.0,0.0,1.0,0.0,8.80521319766263,11.11111111111111,0.0,47,12,30.14
29.08,18.95,0.0,0.0,1.0,1.0,0.0,5.259799874972911,11.11111111111111,2.2222222222222223,54,15,30.02
29.93,25.81,1.0,0.0,0.0,1.0,0.0,6.493500492739649,21.11111111111111,7.222222222222222,40,6,29.84
27.5,32.41,1.0,0.0,0.0,1.0,0.0,6.284473187730587,17.77777777777778,7.222222222222222,49,7,30.23
24.07,33.79,1.0,0.0,0.0,1.0,0.0,2.243309692928613,17.77777777777778,7.777777777777778,52,13,30.17
31.85,26.09,1.0,0.0,0.0,1.0,0.0,4.28771536809394,17.77777777777778,7.222222222222222,49,7,30.23
13.03,32.01,0.0,1.0,0.0,0.0,1.0,2.4929196484083262,11.11111111111111,1.1111111111111112,50,7,30.14
21.33,20.6,0.0,1.0,0.0,0.0,1.0,0.813677528719504,11.11111111111111,1.1111111111111112,50,7,30.14
28.04,25.64,1.0,0.0,0.0,1.0,0.0,8.788002691248403,17.77777777777778,7.777777777777778,52,10,30.2
33.2,28.62,1.0,0.0,0.0,1.0,0.0,6.642986366416859,21.11111111111111,7.222222222222222,40,10,29.81
27.5,30.41,1.0,0.0,0.0,1.0,0.0,1.7543832844586047,10.0,0.0,50,7,30.17
20.56,31.87,0.0,1.0,0.0,0.0,1.0,2.4932348851368342,11.11111111111111,1.1111111111111112,50,7,30.14
27.31,19.39,0.0,0.0,1.0,1.0,0.0,4.833146269879601,11.11111111111111,2.2222222222222223,54,15,30.02
29.46,34.0,1.0,0.0,0.0,1.0,0.0,6.690683162370775,20.0,10.0,52,13,29.78
17.62,27.4,0.0,1.0,0.0,0.0,1.0,2.497185919674704,11.11111111111111,1.1111111111111112,50,7,30.14
22.47,33.55,1.0,0.0,0.0,1.0,0.0,5.981228607005588,17.77777777777778,7.222222222222222,49,7,30.23
27.32,25.11,1.0,0.0,0.0,1.0,0.0,0.8968236261806539,17.77777777777778,7.777777777777778,52,15,30.17
23.0,20.11,1.0,0.0,0.0,1.0,0.0,4.333681960668753,11.11111111111111,1.1111111111111112,50,13,30.17
11.37,28.76,1.0,0.0,0.0,1.0,0.0,0.7035237715617119,10.0,0.0,50,7,30.17
23.77,19.38,1.0,0.0,0.0,1.0,0.0,1.7032895232007952,12.222222222222221,0.0,44,12,30.17
23.76,21.6,1.0,0.0,0.0,1.0,0.0,7.178374723121721,12.222222222222221,1.1111111111111112,47,14,29.99
